Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_and_TS2,Chrome 128.0.0.0,Combined Test Suite for TS1_POS_CashSale and TS2_POS_AccountSale,,10-09-2024 13:34:49,10-09-2024 13:36:14,1m - 24.408s,PASSED
,,,,,,,
Test Cases/DBC_Instance/PointofSale_Module/TS1_POS_CashSale/POS_CashSale - New,Chrome 128.0.0.0,,,10-09-2024 13:34:50,10-09-2024 13:35:27,37.965s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,10-09-2024 13:34:50,10-09-2024 13:34:52,1.639s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,10-09-2024 13:34:52,10-09-2024 13:34:52,0.059s,PASSED
"navigateToUrl(""http://frameworks.dahlsens.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 128.0.0.0,,,10-09-2024 13:34:52,10-09-2024 13:34:54,1.975s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 128.0.0.0,,,10-09-2024 13:34:54,10-09-2024 13:34:55,1.686s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Password_password""), ""FHoXGFMjtD0="")",Chrome 128.0.0.0,,,10-09-2024 13:34:55,10-09-2024 13:34:56,0.437s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Login""))",Chrome 128.0.0.0,,,10-09-2024 13:34:56,10-09-2024 13:34:56,0.545s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/img_MenuIcon""))",Chrome 128.0.0.0,,,10-09-2024 13:34:56,10-09-2024 13:34:58,2.032s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 128.0.0.0,,,10-09-2024 13:34:58,10-09-2024 13:34:59,0.515s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 128.0.0.0,,,10-09-2024 13:34:59,10-09-2024 13:35:00,0.739s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 128.0.0.0,,,10-09-2024 13:35:00,10-09-2024 13:35:02,1.844s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_P_prodId""), ""594"")",Chrome 128.0.0.0,,,10-09-2024 13:35:02,10-09-2024 13:35:02,0.547s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 128.0.0.0,,,10-09-2024 13:35:02,10-09-2024 13:35:02,0.318s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/img_add""))",Chrome 128.0.0.0,,,10-09-2024 13:35:02,10-09-2024 13:35:04,1.224s,PASSED
delay(2),Chrome 128.0.0.0,,,10-09-2024 13:35:04,10-09-2024 13:35:06,2.047s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,10-09-2024 13:35:06,10-09-2024 13:35:07,0.909s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_P_prodId""), ""pfr7035"")",Chrome 128.0.0.0,,,10-09-2024 13:35:07,10-09-2024 13:35:07,0.570s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 128.0.0.0,,,10-09-2024 13:35:07,10-09-2024 13:35:08,0.612s,PASSED
