Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_and_TS2,Chrome 128.0.0.0,Combined Test Suite for TS1_POS_CashSale and TS2_POS_AccountSale,,15-09-2024 13:40:15,15-09-2024 13:42:52,2m - 37.102s,PASSED
,,,,,,,
Test Cases/DBC_Instance/PointofSale_Module/TS1_POS_CashSale/POS_CashSale - New,Chrome 128.0.0.0,,,15-09-2024 13:40:15,15-09-2024 13:41:22,1m - 6.667s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 13:40:16,15-09-2024 13:40:20,3.970s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,15-09-2024 13:40:20,15-09-2024 13:40:21,0.142s,PASSED
"navigateToUrl(""http://frameworks.dahlsens.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 128.0.0.0,,,15-09-2024 13:40:21,15-09-2024 13:40:25,4.704s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 128.0.0.0,,,15-09-2024 13:40:25,15-09-2024 13:40:28,2.837s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Password_password""), ""FHoXGFMjtD0="")",Chrome 128.0.0.0,,,15-09-2024 13:40:28,15-09-2024 13:40:29,0.640s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Login""))",Chrome 128.0.0.0,,,15-09-2024 13:40:29,15-09-2024 13:40:29,0.691s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/img_MenuIcon""))",Chrome 128.0.0.0,,,15-09-2024 13:40:29,15-09-2024 13:40:36,6.384s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 128.0.0.0,,,15-09-2024 13:40:36,15-09-2024 13:40:37,1.495s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 128.0.0.0,,,15-09-2024 13:40:37,15-09-2024 13:40:38,1.030s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 128.0.0.0,,,15-09-2024 13:40:38,15-09-2024 13:40:43,4.829s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_P_prodId""), ""594"")",Chrome 128.0.0.0,,,15-09-2024 13:40:43,15-09-2024 13:40:44,0.729s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 128.0.0.0,,,15-09-2024 13:40:44,15-09-2024 13:40:44,0.455s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/img_add""))",Chrome 128.0.0.0,,,15-09-2024 13:40:44,15-09-2024 13:40:46,1.608s,PASSED
delay(2),Chrome 128.0.0.0,,,15-09-2024 13:40:46,15-09-2024 13:40:48,2.063s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,15-09-2024 13:40:48,15-09-2024 13:40:50,1.567s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_P_prodId""), ""pfr7035"")",Chrome 128.0.0.0,,,15-09-2024 13:40:50,15-09-2024 13:40:51,1.006s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 128.0.0.0,,,15-09-2024 13:40:51,15-09-2024 13:40:51,0.419s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_Tally Maintenance""))",Chrome 128.0.0.0,,,15-09-2024 13:40:51,15-09-2024 13:40:54,2.941s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Quantity_Col""))",Chrome 128.0.0.0,,,15-09-2024 13:40:54,15-09-2024 13:40:55,0.857s,PASSED
"sendKeys(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_LM_tallyQuantity""), ""1"")",Chrome 128.0.0.0,,,15-09-2024 13:40:55,15-09-2024 13:40:55,0.561s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Length_Col""))",Chrome 128.0.0.0,,,15-09-2024 13:40:55,15-09-2024 13:40:56,0.592s,PASSED
"sendKeys(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_LM_tallyLength""), ""3"")",Chrome 128.0.0.0,,,15-09-2024 13:40:56,15-09-2024 13:40:57,1.224s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_Add""))",Chrome 128.0.0.0,,,15-09-2024 13:40:57,15-09-2024 13:40:58,0.475s,PASSED
"sendKeys(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_LM_tallyQuantity_1_2""), ""1"")",Chrome 128.0.0.0,,,15-09-2024 13:40:58,15-09-2024 13:40:59,1.318s,PASSED
