Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_SO_SalesOrder_Account,Chrome 128.0.0.0,,,15-09-2024 19:08:55,15-09-2024 19:09:35,40.148s,FAILED
,,,,,,,
Test Cases/DBC_Instance/SalesOrders_Module/TS1_SO_SalesOrder_Account/SO_Account_Sale - New,Chrome 128.0.0.0,,,15-09-2024 19:08:55,15-09-2024 19:09:28,32.914s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 19:08:57,15-09-2024 19:09:01,3.879s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,15-09-2024 19:09:01,15-09-2024 19:09:01,0.172s,PASSED
"navigateToUrl(""http://frameworks.dahlsens.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 128.0.0.0,,,15-09-2024 19:09:01,15-09-2024 19:09:07,6.018s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders/New_Interface/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 128.0.0.0,,,15-09-2024 19:09:07,15-09-2024 19:09:11,4.584s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Sales_Orders/New_Interface/Page_Frameworks (Demo)/input_Password_password""), ""FHoXGFMjtD0="")",Chrome 128.0.0.0,,,15-09-2024 19:09:11,15-09-2024 19:09:12,0.556s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders/New_Interface/Page_Frameworks (Demo)/div_Login""))",Chrome 128.0.0.0,,,15-09-2024 19:09:12,15-09-2024 19:09:12,0.583s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders/New_Interface/Page_Frameworks (Demo)/img_MenuIcon""))",Chrome 128.0.0.0,,,15-09-2024 19:09:12,15-09-2024 19:09:18,5.326s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders/New_Interface/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 128.0.0.0,,,15-09-2024 19:09:18,15-09-2024 19:09:19,0.985s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders/New_Interface/Page_Frameworks (Demo)/td_Sales Orders""))",Chrome 128.0.0.0,,,15-09-2024 19:09:19,15-09-2024 19:09:20,0.845s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders/New_Interface/Page_Frameworks (Demo)/div_New""))",Chrome 128.0.0.0,,,15-09-2024 19:09:20,15-09-2024 19:09:23,3.000s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders/New_Interface/Page_Frameworks (Demo)/input_Customer_idCustX""), ""JOE CHILA (3379)"")",Chrome 128.0.0.0,,,15-09-2024 19:09:23,15-09-2024 19:09:28,5.420s,FAILED
,,,,,,,
Test Cases/DBC_Instance/SalesOrders_Module/TS1_SO_SalesOrder_Account/SO_AS_Validate - New,Chrome 128.0.0.0,,,15-09-2024 19:09:28,15-09-2024 19:09:35,6.880s,FAILED
sourceFile = new java.io.FileInputStream(ExcelFile),Chrome 128.0.0.0,,,15-09-2024 19:09:28,15-09-2024 19:09:28,0.023s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(sourceFile),Chrome 128.0.0.0,,,15-09-2024 19:09:29,15-09-2024 19:09:30,1.029s,PASSED
"sheet = workbook.getSheet(""Sheet1"")",Chrome 128.0.0.0,,,15-09-2024 19:09:30,15-09-2024 19:09:30,0.009s,PASSED
row = sheet.getRow(1),Chrome 128.0.0.0,,,15-09-2024 19:09:30,15-09-2024 19:09:30,0.073s,PASSED
cell = row.getCell(1),Chrome 128.0.0.0,,,15-09-2024 19:09:30,15-09-2024 19:09:30,0.021s,PASSED
salesorder_Number = cell.getStringCellValue(),Chrome 128.0.0.0,,,15-09-2024 19:09:30,15-09-2024 19:09:30,0.054s,PASSED
println(salesorder_Number),Chrome 128.0.0.0,,,15-09-2024 19:09:30,15-09-2024 19:09:30,0.008s,PASSED
sourceFile.close(),Chrome 128.0.0.0,,,15-09-2024 19:09:30,15-09-2024 19:09:30,0.006s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,15-09-2024 19:09:30,15-09-2024 19:09:31,1.636s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,15-09-2024 19:09:31,15-09-2024 19:09:31,0.127s,PASSED
"navigateToUrl(""http://frameworks.dahlsens.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 128.0.0.0,,,15-09-2024 19:09:31,15-09-2024 19:09:34,2.377s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders/New_Interface/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 128.0.0.0,,,15-09-2024 19:09:34,15-09-2024 19:09:35,1.119s,FAILED
