Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_POS_CashSale_TS2_POS_AccountSale,Chrome 128.0.0.0,Combined Test Suite for TS1_POS_CashSale and TS2_POS_AccountSale,,16-09-2024 21:11:27,16-09-2024 21:13:05,1m - 38.177s,FAILED
,,,,,,,
Test Cases/DBC_Instance/PointofSale_Module/TS1_POS_CashSale/POS_CashSale - New,Chrome 128.0.0.0,,,16-09-2024 21:11:27,16-09-2024 21:12:08,41.095s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,16-09-2024 21:11:27,16-09-2024 21:11:29,1.587s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,16-09-2024 21:11:29,16-09-2024 21:11:29,0.071s,PASSED
"navigateToUrl(""http://frameworks.dahlsens.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 128.0.0.0,,,16-09-2024 21:11:29,16-09-2024 21:11:31,2.233s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 128.0.0.0,,,16-09-2024 21:11:31,16-09-2024 21:11:33,1.447s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Password_password""), ""FHoXGFMjtD0="")",Chrome 128.0.0.0,,,16-09-2024 21:11:33,16-09-2024 21:11:33,0.386s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Login""))",Chrome 128.0.0.0,,,16-09-2024 21:11:33,16-09-2024 21:11:34,0.591s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/img_MenuIcon""))",Chrome 128.0.0.0,,,16-09-2024 21:11:34,16-09-2024 21:11:37,3.410s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 128.0.0.0,,,16-09-2024 21:11:37,16-09-2024 21:11:37,0.538s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 128.0.0.0,,,16-09-2024 21:11:37,16-09-2024 21:11:38,0.731s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 128.0.0.0,,,16-09-2024 21:11:38,16-09-2024 21:11:40,2.084s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_P_prodId""), ""594"")",Chrome 128.0.0.0,,,16-09-2024 21:11:40,16-09-2024 21:11:41,0.581s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 128.0.0.0,,,16-09-2024 21:11:41,16-09-2024 21:11:41,0.307s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/img_add""))",Chrome 128.0.0.0,,,16-09-2024 21:11:41,16-09-2024 21:11:43,1.502s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 21:11:43,16-09-2024 21:11:45,2.051s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 21:11:45,16-09-2024 21:11:45,0.692s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_P_prodId""), ""pfr7035"")",Chrome 128.0.0.0,,,16-09-2024 21:11:45,16-09-2024 21:11:46,0.561s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 128.0.0.0,,,16-09-2024 21:11:46,16-09-2024 21:11:47,0.653s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_Tally Maintenance""))",Chrome 128.0.0.0,,,16-09-2024 21:11:47,16-09-2024 21:11:49,2.212s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Quantity_Col""))",Chrome 128.0.0.0,,,16-09-2024 21:11:49,16-09-2024 21:11:50,0.837s,PASSED
"sendKeys(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_LM_tallyQuantity""), ""1"")",Chrome 128.0.0.0,,,16-09-2024 21:11:50,16-09-2024 21:11:50,0.497s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Length_Col""))",Chrome 128.0.0.0,,,16-09-2024 21:11:50,16-09-2024 21:11:51,0.421s,PASSED
"sendKeys(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_LM_tallyLength""), ""3"")",Chrome 128.0.0.0,,,16-09-2024 21:11:51,16-09-2024 21:11:52,1.070s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_Add""))",Chrome 128.0.0.0,,,16-09-2024 21:11:52,16-09-2024 21:11:52,0.333s,PASSED
"sendKeys(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_LM_tallyQuantity_1_2""), ""1"")",Chrome 128.0.0.0,,,16-09-2024 21:11:52,16-09-2024 21:11:53,0.798s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Length_Col_Row2""))",Chrome 128.0.0.0,,,16-09-2024 21:11:53,16-09-2024 21:11:53,0.339s,PASSED
"sendKeys(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_LM_tallyLength_1_2""), ""2"")",Chrome 128.0.0.0,,,16-09-2024 21:11:53,16-09-2024 21:11:54,0.651s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 21:11:54,16-09-2024 21:11:56,2.009s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 21:11:56,16-09-2024 21:11:56,0.560s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_SaveClose (S)""))",Chrome 128.0.0.0,,,16-09-2024 21:11:56,16-09-2024 21:11:57,0.353s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/img_add""))",Chrome 128.0.0.0,,,16-09-2024 21:11:57,16-09-2024 21:11:58,1.219s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 21:11:58,16-09-2024 21:12:00,2.016s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 21:12:00,16-09-2024 21:12:00,0.528s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_FinishSale (S)""))",Chrome 128.0.0.0,,,16-09-2024 21:12:00,16-09-2024 21:12:01,0.390s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_100 Cash""))",Chrome 128.0.0.0,,,16-09-2024 21:12:01,16-09-2024 21:12:03,2.221s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 21:12:03,16-09-2024 21:12:05,2.011s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 21:12:05,16-09-2024 21:12:06,0.545s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_SaveClose (S)""))",Chrome 128.0.0.0,,,16-09-2024 21:12:06,16-09-2024 21:12:06,0.337s,PASSED
"click(findTestObject(""Object Repository/TS2_POS_AccountSale_DBC/New_Interface/Page_Frameworks (Demo)/img_AccountDropdown""))",Chrome 128.0.0.0,,,16-09-2024 21:12:06,16-09-2024 21:12:07,1.168s,PASSED
"click(findTestObject(""Object Repository/TS2_POS_AccountSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Logout""))",Chrome 128.0.0.0,,,16-09-2024 21:12:07,16-09-2024 21:12:08,0.634s,PASSED
,,,,,,,
