Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS6_POS_Cash_Refund_Partial,Chrome 128.0.0.0,,,16-09-2024 22:52:04,16-09-2024 22:53:25,1m - 21.386s,PASSED
,,,,,,,
Test Cases/DBC_Instance/PointofSale_Module/TS1_POS_CashSale/POS_CashSale-LM20(TS6),Chrome 128.0.0.0,,,16-09-2024 22:52:04,16-09-2024 22:52:30,25.522s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,16-09-2024 22:52:05,16-09-2024 22:52:06,1.564s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,16-09-2024 22:52:06,16-09-2024 22:52:06,0.070s,PASSED
"navigateToUrl(""http://frameworks.dahlsens.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 128.0.0.0,,,16-09-2024 22:52:06,16-09-2024 22:52:08,2.053s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 128.0.0.0,,,16-09-2024 22:52:08,16-09-2024 22:52:10,1.645s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Password_password""), ""FHoXGFMjtD0="")",Chrome 128.0.0.0,,,16-09-2024 22:52:10,16-09-2024 22:52:10,0.361s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Login""))",Chrome 128.0.0.0,,,16-09-2024 22:52:10,16-09-2024 22:52:11,0.559s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/img_MenuIcon""))",Chrome 128.0.0.0,,,16-09-2024 22:52:11,16-09-2024 22:52:13,2.089s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 128.0.0.0,,,16-09-2024 22:52:13,16-09-2024 22:52:14,0.568s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 128.0.0.0,,,16-09-2024 22:52:14,16-09-2024 22:52:14,0.630s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 128.0.0.0,,,16-09-2024 22:52:14,16-09-2024 22:52:16,2.240s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_P_prodId""), ""LM20"")",Chrome 128.0.0.0,,,16-09-2024 22:52:16,16-09-2024 22:52:17,0.604s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""), ""2"")",Chrome 128.0.0.0,,,16-09-2024 22:52:17,16-09-2024 22:52:18,1.122s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 128.0.0.0,,,16-09-2024 22:52:18,16-09-2024 22:52:19,0.280s,PASSED
