Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_BT_BranchTransfer_DBC,Chrome 128.0.0.0,,,16-09-2024 23:35:35,16-09-2024 23:38:42,3m - 7.189s,PASSED
,,,,,,,
Test Cases/DBC_Instance/BranchTransfer_Module/TS1_BT_BranchTransfer/Create_Purchase_Order - New,Chrome 128.0.0.0,,,16-09-2024 23:35:35,16-09-2024 23:36:56,1m - 20.463s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,16-09-2024 23:35:36,16-09-2024 23:35:37,1.441s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,16-09-2024 23:35:37,16-09-2024 23:35:37,0.057s,PASSED
"navigateToUrl(""http://frameworks.dahlsens.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 128.0.0.0,,,16-09-2024 23:35:37,16-09-2024 23:35:40,2.962s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 128.0.0.0,,,16-09-2024 23:35:40,16-09-2024 23:35:42,2.086s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/input_Password_password""), ""FHoXGFMjtD0="")",Chrome 128.0.0.0,,,16-09-2024 23:35:42,16-09-2024 23:35:43,0.371s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/div_Login""))",Chrome 128.0.0.0,,,16-09-2024 23:35:43,16-09-2024 23:35:43,0.535s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 128.0.0.0,,,16-09-2024 23:35:43,16-09-2024 23:35:45,1.887s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/Purchasing  Receipting""))",Chrome 128.0.0.0,,,16-09-2024 23:35:45,16-09-2024 23:35:46,0.564s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/Transaction Processing""))",Chrome 128.0.0.0,,,16-09-2024 23:35:46,16-09-2024 23:35:46,0.528s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 23:35:46,16-09-2024 23:35:48,2.061s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 23:35:48,16-09-2024 23:35:49,1.019s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/td_Purchase_Orders_level3""))",Chrome 128.0.0.0,,,16-09-2024 23:35:49,16-09-2024 23:35:50,0.307s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 23:35:50,16-09-2024 23:35:52,2.019s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 23:35:52,16-09-2024 23:35:52,0.496s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/div_New""))",Chrome 128.0.0.0,,,16-09-2024 23:35:52,16-09-2024 23:35:53,0.650s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 23:35:53,16-09-2024 23:35:55,2.013s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 23:35:55,16-09-2024 23:35:55,0.536s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/input_Supplier No_idSupp""), ""dbc202"")",Chrome 128.0.0.0,,,16-09-2024 23:35:55,16-09-2024 23:35:56,0.551s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/div_DAHLSENS TRANSFERS BAIRNSDALE (DBC202)""))",Chrome 128.0.0.0,,,16-09-2024 23:35:56,16-09-2024 23:35:57,0.905s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/img_Calendaricon""))",Chrome 128.0.0.0,,,16-09-2024 23:35:57,16-09-2024 23:35:57,0.670s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/div_date""))",Chrome 128.0.0.0,,,16-09-2024 23:35:57,16-09-2024 23:35:58,0.840s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/img_Shipping Basis_isc_GH""))",Chrome 128.0.0.0,,,16-09-2024 23:35:58,16-09-2024 23:35:59,0.532s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/div_DLV - Supplier Delivery""))",Chrome 128.0.0.0,,,16-09-2024 23:35:59,16-09-2024 23:35:59,0.671s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/img_Order From_isc_LB""))",Chrome 128.0.0.0,,,16-09-2024 23:35:59,16-09-2024 23:36:00,0.726s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/a_1""))",Chrome 128.0.0.0,,,16-09-2024 23:36:00,16-09-2024 23:36:01,0.913s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 23:36:01,16-09-2024 23:36:03,2.005s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 23:36:03,16-09-2024 23:36:04,0.537s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/td_Save (S)""))",Chrome 128.0.0.0,,,16-09-2024 23:36:04,16-09-2024 23:36:04,0.488s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 23:36:04,16-09-2024 23:36:06,2.009s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 23:36:06,16-09-2024 23:36:07,0.516s,PASSED
"PurchaseOrder = getText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/purchaseOrderNo""))",Chrome 128.0.0.0,,,16-09-2024 23:36:07,16-09-2024 23:36:07,0.270s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/input_P_idProd""), ""cm20"")",Chrome 128.0.0.0,,,16-09-2024 23:36:07,16-09-2024 23:36:07,0.563s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/input_Quantity_qtyTran""), ""1"")",Chrome 128.0.0.0,,,16-09-2024 23:36:07,16-09-2024 23:36:08,0.946s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/img_add""))",Chrome 128.0.0.0,,,16-09-2024 23:36:08,16-09-2024 23:36:09,0.378s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/input_P_idProd""), ""lm20"")",Chrome 128.0.0.0,,,16-09-2024 23:36:09,16-09-2024 23:36:10,1.368s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/input_Quantity_qtyTran""), ""2"")",Chrome 128.0.0.0,,,16-09-2024 23:36:10,16-09-2024 23:36:11,0.899s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/img_add""))",Chrome 128.0.0.0,,,16-09-2024 23:36:11,16-09-2024 23:36:11,0.365s,PASSED
delay(2),Chrome 128.0.0.0,,,16-09-2024 23:36:11,16-09-2024 23:36:13,2.005s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,16-09-2024 23:36:13,16-09-2024 23:36:14,0.502s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_DBC/New_Interface/Create_PurchaseOrder/Page_Frameworks (Demo)/div_Actions""))",Chrome 128.0.0.0,,,16-09-2024 23:36:14,16-09-2024 23:36:14,0.309s,PASSED
