Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_SO_SalesOrder_Account_CHC,Chrome 128.0.0.0,,,17-09-2024 14:03:51,17-09-2024 14:05:30,1m - 38.654s,PASSED
,,,,,,,
Test Cases/CHC_Instance/SalesOrders_Module/TS1_SO_SalesOrder_Account/SO_Account_Sale_CHC,Chrome 128.0.0.0,,,17-09-2024 14:03:51,17-09-2024 14:05:06,1m - 14.550s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,17-09-2024 14:03:52,17-09-2024 14:03:54,1.570s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,17-09-2024 14:03:54,17-09-2024 14:03:54,0.057s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 128.0.0.0,,,17-09-2024 14:03:54,17-09-2024 14:03:57,3.225s,PASSED
delay(3),Chrome 128.0.0.0,,,17-09-2024 14:03:57,17-09-2024 14:04:00,3.073s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 128.0.0.0,,,17-09-2024 14:04:00,17-09-2024 14:04:01,0.687s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 128.0.0.0,,,17-09-2024 14:04:01,17-09-2024 14:04:01,0.371s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/Page_Frameworks (Demo)/div_Login""))",Chrome 128.0.0.0,,,17-09-2024 14:04:01,17-09-2024 14:04:02,0.544s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 128.0.0.0,,,17-09-2024 14:04:02,17-09-2024 14:04:03,1.780s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/Sales_TransactionProcessing""))",Chrome 128.0.0.0,,,17-09-2024 14:04:03,17-09-2024 14:04:04,0.510s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/td_Sales Orders""))",Chrome 128.0.0.0,,,17-09-2024 14:04:04,17-09-2024 14:04:05,1.398s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_New""))",Chrome 128.0.0.0,,,17-09-2024 14:04:05,17-09-2024 14:04:07,1.767s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/input_Customer_idCustX""), ""Lee Pearce"")",Chrome 128.0.0.0,,,17-09-2024 14:04:07,17-09-2024 14:04:10,3.171s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Lee Pearce (518451)""))",Chrome 128.0.0.0,,,17-09-2024 14:04:10,17-09-2024 14:04:11,1.091s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/input_Cust Order_custOrderRef""))",Chrome 128.0.0.0,,,17-09-2024 14:04:11,17-09-2024 14:04:12,0.799s,PASSED
delay(2),Chrome 128.0.0.0,,,17-09-2024 14:04:12,17-09-2024 14:04:14,2.016s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/td_Close (O)""))",Chrome 128.0.0.0,,,17-09-2024 14:04:14,17-09-2024 14:04:15,0.443s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/Page_Frameworks (Demo)/img_Order Branch""))",Chrome 128.0.0.0,,,17-09-2024 14:04:15,17-09-2024 14:04:15,0.795s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/Page_Frameworks (Demo)/div_510 - DEMONSTRATION BRANCH 510""))",Chrome 128.0.0.0,,,17-09-2024 14:04:15,17-09-2024 14:04:16,0.634s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/img_Desp. Method_isc_12H""))",Chrome 128.0.0.0,,,17-09-2024 14:04:16,17-09-2024 14:04:17,0.722s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_SUPP - Supplier Direct Delivery""))",Chrome 128.0.0.0,,,17-09-2024 14:04:17,17-09-2024 14:04:18,0.873s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/img_Date Required_isc_12O""))",Chrome 128.0.0.0,,,17-09-2024 14:04:18,17-09-2024 14:04:19,0.917s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_setDate""))",Chrome 128.0.0.0,,,17-09-2024 14:04:19,17-09-2024 14:04:19,0.615s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/input_Address_deliverToAddress2""), ""154 Scott Street"")",Chrome 128.0.0.0,,,17-09-2024 14:04:19,17-09-2024 14:04:20,0.959s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/input_SuburbCity_deliverToAddress3""), ""Cairns"")",Chrome 128.0.0.0,,,17-09-2024 14:04:20,17-09-2024 14:04:21,1.083s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/img_State_isc_14Q""))",Chrome 128.0.0.0,,,17-09-2024 14:04:21,17-09-2024 14:04:22,0.565s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_QLD - Queensland""))",Chrome 128.0.0.0,,,17-09-2024 14:04:22,17-09-2024 14:04:23,0.850s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/input_Post Code_postCodeShip""), ""4870"")",Chrome 128.0.0.0,,,17-09-2024 14:04:23,17-09-2024 14:04:24,0.917s,PASSED
"scrollToElement(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/img_Delivery Area_isc_18U""), 2)",Chrome 128.0.0.0,,,17-09-2024 14:04:24,17-09-2024 14:04:24,0.615s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/img_Delivery Area_isc_18U""))",Chrome 128.0.0.0,,,17-09-2024 14:04:24,17-09-2024 14:04:25,0.436s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/a_Expo""))",Chrome 128.0.0.0,,,17-09-2024 14:04:25,17-09-2024 14:04:26,1.207s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:26,17-09-2024 14:04:27,0.936s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/td_Save (S)""))",Chrome 128.0.0.0,,,17-09-2024 14:04:27,17-09-2024 14:04:27,0.747s,PASSED
delay(8),Chrome 128.0.0.0,,,17-09-2024 14:04:27,17-09-2024 14:04:36,8.015s,PASSED
"salesorder_Number = getText(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/span_SOnumber""))",Chrome 128.0.0.0,,,17-09-2024 14:04:36,17-09-2024 14:04:36,0.670s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/input_P_idProd""), ""5155103"")",Chrome 128.0.0.0,,,17-09-2024 14:04:36,17-09-2024 14:04:37,0.551s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/input_Quantity_qtyTran""), STOP_ON_FAILURE)",Chrome 128.0.0.0,,,17-09-2024 14:04:37,17-09-2024 14:04:37,0.319s,PASSED
delay(3),Chrome 128.0.0.0,,,17-09-2024 14:04:37,17-09-2024 14:04:40,3.006s,PASSED
"setText(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/input_Tally_tallyText""), ""1/3"")",Chrome 128.0.0.0,,,17-09-2024 14:04:40,17-09-2024 14:04:41,0.570s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:41,17-09-2024 14:04:41,0.523s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/img_add""))",Chrome 128.0.0.0,,,17-09-2024 14:04:41,17-09-2024 14:04:42,0.367s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:42,17-09-2024 14:04:42,0.540s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Actions""))",Chrome 128.0.0.0,,,17-09-2024 14:04:42,17-09-2024 14:04:43,1.020s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:43,17-09-2024 14:04:44,0.690s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Save Order""))",Chrome 128.0.0.0,,,17-09-2024 14:04:44,17-09-2024 14:04:44,0.599s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:44,17-09-2024 14:04:45,0.705s,PASSED
delay(3),Chrome 128.0.0.0,,,17-09-2024 14:04:45,17-09-2024 14:04:48,3.017s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Actions""))",Chrome 128.0.0.0,,,17-09-2024 14:04:48,17-09-2024 14:04:49,0.426s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Mark as Entry Complete""))",Chrome 128.0.0.0,,,17-09-2024 14:04:49,17-09-2024 14:04:49,0.896s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:49,17-09-2024 14:04:50,0.865s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/img_Save_icon""))",Chrome 128.0.0.0,,,17-09-2024 14:04:50,17-09-2024 14:04:53,2.304s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Actions""))",Chrome 128.0.0.0,,,17-09-2024 14:04:53,17-09-2024 14:04:55,1.960s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:55,17-09-2024 14:04:55,0.553s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Pick  Release""))",Chrome 128.0.0.0,,,17-09-2024 14:04:55,17-09-2024 14:04:55,0.366s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:55,17-09-2024 14:04:56,0.820s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Pick All""))",Chrome 128.0.0.0,,,17-09-2024 14:04:56,17-09-2024 14:04:57,1.181s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:57,17-09-2024 14:04:58,0.577s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Complete Picking""))",Chrome 128.0.0.0,,,17-09-2024 14:04:58,17-09-2024 14:04:58,0.314s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:58,17-09-2024 14:04:59,0.548s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Release Order""))",Chrome 128.0.0.0,,,17-09-2024 14:04:59,17-09-2024 14:04:59,0.573s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:04:59,17-09-2024 14:05:00,0.619s,PASSED
"click(findTestObject(""Object Repository/Sales_Orders_CHC/Page_Frameworks (Demo)/div_Print Delivery Docket_isc_2P4""))",Chrome 128.0.0.0,,,17-09-2024 14:05:00,17-09-2024 14:05:01,0.530s,PASSED
delay(2),Chrome 128.0.0.0,,,17-09-2024 14:05:01,17-09-2024 14:05:03,2.005s,PASSED
takeFullPageScreenshot(),Chrome 128.0.0.0,,,17-09-2024 14:05:03,17-09-2024 14:05:03,0.513s,PASSED
