Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS6_POS_Cash_Refund_Partial_CHC,Chrome 129.0.0.0,,,02-10-2024 23:14:21,02-10-2024 23:16:31,2m - 10.064s,PASSED
,,,,,,,
Test Cases/CHC_Instance/PointofSale_Module/TS1_POS_CashSale/POS_CashSale-5006866(TS6),Chrome 129.0.0.0,,,02-10-2024 23:14:22,02-10-2024 23:14:58,36.876s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,02-10-2024 23:14:22,02-10-2024 23:14:24,1.554s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,02-10-2024 23:14:24,02-10-2024 23:14:24,0.055s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 129.0.0.0,,,02-10-2024 23:14:24,02-10-2024 23:14:29,5.087s,PASSED
"setText(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 129.0.0.0,,,02-10-2024 23:14:29,02-10-2024 23:14:31,2.640s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 129.0.0.0,,,02-10-2024 23:14:31,02-10-2024 23:14:32,0.413s,PASSED
"click(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/div_Login""))",Chrome 129.0.0.0,,,02-10-2024 23:14:32,02-10-2024 23:14:32,0.516s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 129.0.0.0,,,02-10-2024 23:14:32,02-10-2024 23:14:34,1.728s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/Sales_TransactionProcessing""))",Chrome 129.0.0.0,,,02-10-2024 23:14:34,02-10-2024 23:14:35,0.549s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 129.0.0.0,,,02-10-2024 23:14:35,02-10-2024 23:14:35,0.744s,PASSED
delay(2),Chrome 129.0.0.0,,,02-10-2024 23:14:35,02-10-2024 23:14:37,2.066s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,02-10-2024 23:14:37,02-10-2024 23:14:38,0.692s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/TS2_POS_AccountSale_DBC/New_Interface/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 129.0.0.0,,,02-10-2024 23:14:38,02-10-2024 23:14:38,0.288s,PASSED
"setText(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/input_P_prodId""), ""5006866"")",Chrome 129.0.0.0,,,02-10-2024 23:14:38,02-10-2024 23:14:39,0.594s,PASSED
delay(2),Chrome 129.0.0.0,,,02-10-2024 23:14:39,02-10-2024 23:14:41,2.015s,PASSED
"setText(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""), ""2"")",Chrome 129.0.0.0,,,02-10-2024 23:14:41,02-10-2024 23:14:43,1.724s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 129.0.0.0,,,02-10-2024 23:14:43,02-10-2024 23:14:43,0.289s,PASSED
delay(2),Chrome 129.0.0.0,,,02-10-2024 23:14:43,02-10-2024 23:14:45,2.012s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/img_add""))",Chrome 129.0.0.0,,,02-10-2024 23:14:45,02-10-2024 23:14:45,0.398s,PASSED
delay(2),Chrome 129.0.0.0,,,02-10-2024 23:14:45,02-10-2024 23:14:47,2.010s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,02-10-2024 23:14:47,02-10-2024 23:14:48,0.528s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/div_FinishSale (S)""))",Chrome 129.0.0.0,,,02-10-2024 23:14:48,02-10-2024 23:14:48,0.398s,PASSED
delay(2),Chrome 129.0.0.0,,,02-10-2024 23:14:48,02-10-2024 23:14:50,2.009s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,02-10-2024 23:14:50,02-10-2024 23:14:51,0.591s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/div_50 Cash""))",Chrome 129.0.0.0,,,02-10-2024 23:14:51,02-10-2024 23:14:51,0.313s,PASSED
delay(2),Chrome 129.0.0.0,,,02-10-2024 23:14:51,02-10-2024 23:14:53,2.021s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,02-10-2024 23:14:53,02-10-2024 23:14:54,0.556s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/td_SaveClose (S)""))",Chrome 129.0.0.0,,,02-10-2024 23:14:54,02-10-2024 23:14:54,0.399s,PASSED
delay(2),Chrome 129.0.0.0,,,02-10-2024 23:14:54,02-10-2024 23:14:56,2.013s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,02-10-2024 23:14:56,02-10-2024 23:14:57,0.488s,PASSED
sourceFile = new java.io.FileInputStream(ExcelFile),Chrome 129.0.0.0,,,02-10-2024 23:14:57,02-10-2024 23:14:57,0.018s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(sourceFile),Chrome 129.0.0.0,,,02-10-2024 23:14:57,02-10-2024 23:14:57,0.479s,PASSED
"sheet = workbook.getSheet(""Sheet1"")",Chrome 129.0.0.0,,,02-10-2024 23:14:57,02-10-2024 23:14:57,0.005s,PASSED
row = sheet.getRow(0),Chrome 129.0.0.0,,,02-10-2024 23:14:57,02-10-2024 23:14:57,0.041s,PASSED
cell = row.getCell(1),Chrome 129.0.0.0,,,02-10-2024 23:14:57,02-10-2024 23:14:57,0.011s,PASSED
row = sheet.createRow(1),Chrome 129.0.0.0,,,02-10-2024 23:14:57,02-10-2024 23:14:57,0.007s,PASSED
