Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS4_POS_Account_Credit_Partial_CHC,Chrome 129.0.0.0,,,06-10-2024 22:54:28,06-10-2024 22:57:12,2m - 44.113s,PASSED
,,,,,,,
Test Cases/CHC_Instance/PointofSale_Module/TS2_POS_AccountSale/POS_AccountSale-5006866(TS4),Chrome 129.0.0.0,,,06-10-2024 22:54:28,06-10-2024 22:55:08,39.551s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,06-10-2024 22:54:29,06-10-2024 22:54:30,1.576s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,06-10-2024 22:54:30,06-10-2024 22:54:31,0.059s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 129.0.0.0,,,06-10-2024 22:54:31,06-10-2024 22:54:35,4.544s,PASSED
"setText(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 129.0.0.0,,,06-10-2024 22:54:35,06-10-2024 22:54:43,7.964s,PASSED
"setEncryptedText(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 129.0.0.0,,,06-10-2024 22:54:43,06-10-2024 22:54:43,0.360s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/div_Login""))",Chrome 129.0.0.0,,,06-10-2024 22:54:43,06-10-2024 22:54:44,0.557s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 129.0.0.0,,,06-10-2024 22:54:44,06-10-2024 22:54:46,1.754s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/Sales_TransactionProcessing""))",Chrome 129.0.0.0,,,06-10-2024 22:54:46,06-10-2024 22:54:46,0.543s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 129.0.0.0,,,06-10-2024 22:54:46,06-10-2024 22:54:47,0.856s,PASSED
delay(1),Chrome 129.0.0.0,,,06-10-2024 22:54:47,06-10-2024 22:54:48,1.058s,PASSED
"setText(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/input_m_customerIdX""), customerName)",Chrome 129.0.0.0,,,06-10-2024 22:54:48,06-10-2024 22:54:50,1.641s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/div_Lee Pearce (518451)""))",Chrome 129.0.0.0,,,06-10-2024 22:54:50,06-10-2024 22:54:50,0.476s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/Page_Frameworks (Demo)/span_Point Of Sale""))",Chrome 129.0.0.0,,,06-10-2024 22:54:50,06-10-2024 22:54:51,0.875s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/Page_Frameworks (Demo)/td_Close (O)""))",Chrome 129.0.0.0,,,06-10-2024 22:54:51,06-10-2024 22:54:53,1.395s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/TS2_POS_AccountSale_DBC/New_Interface/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 129.0.0.0,,,06-10-2024 22:54:53,06-10-2024 22:54:54,1.425s,PASSED
"setText(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/input_P_prodId""), ""5006866"")",Chrome 129.0.0.0,,,06-10-2024 22:54:54,06-10-2024 22:54:55,0.595s,PASSED
delay(2),Chrome 129.0.0.0,,,06-10-2024 22:54:55,06-10-2024 22:54:57,2.018s,PASSED
"setText(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""), ""2"")",Chrome 129.0.0.0,,,06-10-2024 22:54:57,06-10-2024 22:54:58,1.194s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 129.0.0.0,,,06-10-2024 22:54:58,06-10-2024 22:54:58,0.289s,PASSED
delay(2),Chrome 129.0.0.0,,,06-10-2024 22:54:58,06-10-2024 22:55:00,2.016s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,06-10-2024 22:55:00,06-10-2024 22:55:01,0.682s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/img_add""))",Chrome 129.0.0.0,,,06-10-2024 22:55:01,06-10-2024 22:55:01,0.389s,PASSED
delay(2),Chrome 129.0.0.0,,,06-10-2024 22:55:01,06-10-2024 22:55:03,2.017s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,06-10-2024 22:55:03,06-10-2024 22:55:04,0.541s,PASSED
"click(findTestObject(""Object Repository/POS_AccountSale_CHC/Page_Frameworks (Demo)/Page_Frameworks (Demo)/div_ACCOUNT (A)""))",Chrome 129.0.0.0,,,06-10-2024 22:55:04,06-10-2024 22:55:04,0.407s,PASSED
sourceFile = new java.io.FileInputStream(ExcelFile),Chrome 129.0.0.0,,,06-10-2024 22:55:04,06-10-2024 22:55:04,0.026s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(sourceFile),Chrome 129.0.0.0,,,06-10-2024 22:55:04,06-10-2024 22:55:05,0.524s,PASSED
"sheet = workbook.getSheet(""Sheet1"")",Chrome 129.0.0.0,,,06-10-2024 22:55:05,06-10-2024 22:55:05,0.005s,PASSED
row = sheet.getRow(0),Chrome 129.0.0.0,,,06-10-2024 22:55:05,06-10-2024 22:55:05,0.051s,PASSED
cell = row.getCell(1),Chrome 129.0.0.0,,,06-10-2024 22:55:05,06-10-2024 22:55:05,0.013s,PASSED
