Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS5_POS_Cash_Refund_Full_CHC,Chrome 129.0.0.0,,,06-10-2024 22:58:59,06-10-2024 23:01:18,2m - 18.678s,PASSED
,,,,,,,
Test Cases/CHC_Instance/PointofSale_Module/TS1_POS_CashSale/POS_CashSale-5006866(TS5),Chrome 129.0.0.0,,,06-10-2024 22:58:59,06-10-2024 22:59:39,39.557s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,06-10-2024 22:59:00,06-10-2024 22:59:02,1.719s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,06-10-2024 22:59:02,06-10-2024 22:59:02,0.057s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 129.0.0.0,,,06-10-2024 22:59:02,06-10-2024 22:59:06,4.434s,PASSED
"setText(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 129.0.0.0,,,06-10-2024 22:59:06,06-10-2024 22:59:12,5.108s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 129.0.0.0,,,06-10-2024 22:59:12,06-10-2024 22:59:12,0.481s,PASSED
"click(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/div_Login""))",Chrome 129.0.0.0,,,06-10-2024 22:59:12,06-10-2024 22:59:13,0.527s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 129.0.0.0,,,06-10-2024 22:59:13,06-10-2024 22:59:14,1.858s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/Sales_TransactionProcessing""))",Chrome 129.0.0.0,,,06-10-2024 22:59:14,06-10-2024 22:59:15,0.523s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 129.0.0.0,,,06-10-2024 22:59:15,06-10-2024 22:59:16,1.099s,PASSED
delay(2),Chrome 129.0.0.0,,,06-10-2024 22:59:16,06-10-2024 22:59:18,2.056s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,06-10-2024 22:59:18,06-10-2024 22:59:19,0.920s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/TS2_POS_AccountSale_DBC/New_Interface/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 129.0.0.0,,,06-10-2024 22:59:19,06-10-2024 22:59:20,0.698s,PASSED
"setText(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/input_P_prodId""), ""5006866"")",Chrome 129.0.0.0,,,06-10-2024 22:59:20,06-10-2024 22:59:20,0.550s,PASSED
delay(2),Chrome 129.0.0.0,,,06-10-2024 22:59:20,06-10-2024 22:59:22,2.013s,PASSED
