Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS8_POS_Cash_Refund_Overcharge,Chrome 129.0.0.0,,,07-10-2024 22:46:12,07-10-2024 22:47:32,1m - 20.033s,PASSED
,,,,,,,
Test Cases/DBC_Instance/PointofSale_Module/TS1_POS_CashSale/POS_CashSale-LM20(TS8),Chrome 129.0.0.0,,,07-10-2024 22:46:12,07-10-2024 22:46:48,35.764s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,07-10-2024 22:46:12,07-10-2024 22:46:14,1.694s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,07-10-2024 22:46:14,07-10-2024 22:46:14,0.058s,PASSED
"navigateToUrl(""http://frameworks.dahlsens.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 129.0.0.0,,,07-10-2024 22:46:14,07-10-2024 22:46:16,1.969s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 129.0.0.0,,,07-10-2024 22:46:16,07-10-2024 22:46:18,2.051s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_Password_password""), ""FHoXGFMjtD0="")",Chrome 129.0.0.0,,,07-10-2024 22:46:18,07-10-2024 22:46:19,0.358s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_Login""))",Chrome 129.0.0.0,,,07-10-2024 22:46:19,07-10-2024 22:46:19,0.565s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/img_MenuIcon""))",Chrome 129.0.0.0,,,07-10-2024 22:46:19,07-10-2024 22:46:26,6.627s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 129.0.0.0,,,07-10-2024 22:46:26,07-10-2024 22:46:27,0.889s,PASSED
"click(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 129.0.0.0,,,07-10-2024 22:46:27,07-10-2024 22:46:28,1.059s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 129.0.0.0,,,07-10-2024 22:46:28,07-10-2024 22:46:30,2.266s,PASSED
"setText(findTestObject(""Object Repository/TS1_POS_CashSale_DBC/New_Interface/Page_Frameworks (Demo)/input_P_prodId""), ""LM20"")",Chrome 129.0.0.0,,,07-10-2024 22:46:30,07-10-2024 22:46:31,0.550s,PASSED
