Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS9_POS_Suspend_Resume_Sale,Chrome 129.0.0.0,,,07-10-2024 22:51:05,07-10-2024 22:52:10,1m - 4.722s,PASSED
,,,,,,,
Test Cases/DBC_Instance/PointofSale_Module/TS9_POS_SuspendResume_Sale/POS_Suspend_Sale,Chrome 129.0.0.0,,,07-10-2024 22:51:06,07-10-2024 22:51:31,25.977s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,07-10-2024 22:51:06,07-10-2024 22:51:08,1.651s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,07-10-2024 22:51:08,07-10-2024 22:51:08,0.063s,PASSED
"navigateToUrl(""http://frameworks.dahlsens.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 129.0.0.0,,,07-10-2024 22:51:08,07-10-2024 22:51:11,3.143s,PASSED
"setText(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 129.0.0.0,,,07-10-2024 22:51:11,07-10-2024 22:51:13,2.006s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/input_Password_password""), ""FHoXGFMjtD0="")",Chrome 129.0.0.0,,,07-10-2024 22:51:13,07-10-2024 22:51:13,0.367s,PASSED
"click(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/div_Login""))",Chrome 129.0.0.0,,,07-10-2024 22:51:13,07-10-2024 22:51:14,0.530s,PASSED
"click(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/img_MenuIcon""))",Chrome 129.0.0.0,,,07-10-2024 22:51:14,07-10-2024 22:51:18,3.943s,PASSED
"click(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 129.0.0.0,,,07-10-2024 22:51:18,07-10-2024 22:51:19,0.683s,PASSED
"click(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 129.0.0.0,,,07-10-2024 22:51:19,07-10-2024 22:51:19,0.736s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 129.0.0.0,,,07-10-2024 22:51:19,07-10-2024 22:51:22,2.678s,PASSED
"setText(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/input_P_prodId""), ""LM20"")",Chrome 129.0.0.0,,,07-10-2024 22:51:22,07-10-2024 22:51:23,0.890s,PASSED
"click(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 129.0.0.0,,,07-10-2024 22:51:23,07-10-2024 22:51:23,0.311s,PASSED
"click(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_DBC/Page_Frameworks (Demo)/img_add""))",Chrome 129.0.0.0,,,07-10-2024 22:51:23,07-10-2024 22:51:24,1.035s,PASSED
delay(2),Chrome 129.0.0.0,,,07-10-2024 22:51:24,07-10-2024 22:51:26,2.050s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,07-10-2024 22:51:26,07-10-2024 22:51:27,0.706s,PASSED
"click(findTestObject(""Object Repository/TS9_POS_Suspend_Resume_Sale_CHC/Page_Frameworks (Demo)/div_SuspendSale""))",Chrome 129.0.0.0,,,07-10-2024 22:51:27,07-10-2024 22:51:27,0.396s,PASSED
delay(2),Chrome 129.0.0.0,,,07-10-2024 22:51:27,07-10-2024 22:51:29,2.019s,PASSED
takeFullPageScreenshot(),Chrome 129.0.0.0,,,07-10-2024 22:51:29,07-10-2024 22:51:30,0.515s,PASSED
sourceFile = new java.io.FileInputStream(ExcelFile),Chrome 129.0.0.0,,,07-10-2024 22:51:30,07-10-2024 22:51:30,0.021s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(sourceFile),Chrome 129.0.0.0,,,07-10-2024 22:51:30,07-10-2024 22:51:30,0.489s,PASSED
"sheet = workbook.getSheet(""Sheet1"")",Chrome 129.0.0.0,,,07-10-2024 22:51:30,07-10-2024 22:51:30,0.003s,PASSED
