Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS9_POS_Suspend_Resume_Sale,Chrome 130.0.0.0,,,28-10-2024 11:35:18,28-10-2024 11:35:56,37.720s,PASSED
,,,,,,,
Test Cases/Nortruss Instance/PointofSale_Module/TS9_POS_SuspendResume_Sale/POS_Suspend_Sale,Chrome 130.0.0.0,,,28-10-2024 11:35:19,28-10-2024 11:35:56,37.395s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,28-10-2024 11:35:19,28-10-2024 11:35:23,3.230s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,28-10-2024 11:35:23,28-10-2024 11:35:23,0.161s,PASSED
"navigateToUrl(""http://frameworks.nt.nortruss.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 130.0.0.0,,,28-10-2024 11:35:23,28-10-2024 11:35:29,6.353s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_User ID_userid""), ""manaki"")",Chrome 130.0.0.0,,,28-10-2024 11:35:29,28-10-2024 11:35:33,4.258s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Password_password""), ""C5+8mNJ15mA="")",Chrome 130.0.0.0,,,28-10-2024 11:35:33,28-10-2024 11:35:34,0.607s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Login""))",Chrome 130.0.0.0,,,28-10-2024 11:35:34,28-10-2024 11:35:35,0.814s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img_FW""))",Chrome 130.0.0.0,,,28-10-2024 11:35:35,28-10-2024 11:35:39,3.779s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 130.0.0.0,,,28-10-2024 11:35:39,28-10-2024 11:35:40,1.144s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 130.0.0.0,,,28-10-2024 11:35:40,28-10-2024 11:35:41,1.841s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,28-10-2024 11:35:41,28-10-2024 11:35:46,4.124s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,28-10-2024 11:35:46,28-10-2024 11:35:46,0.440s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK""))",Chrome 130.0.0.0,,,28-10-2024 11:35:46,28-10-2024 11:35:47,1.207s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_P_prodId""), ""2014086"")",Chrome 130.0.0.0,,,28-10-2024 11:35:47,28-10-2024 11:35:49,2.150s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 130.0.0.0,,,28-10-2024 11:35:49,28-10-2024 11:35:50,0.624s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img""))",Chrome 130.0.0.0,,,28-10-2024 11:35:50,28-10-2024 11:35:51,1.310s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_SuspendSale""))",Chrome 130.0.0.0,,,28-10-2024 11:35:51,28-10-2024 11:35:53,1.832s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId_1""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,28-10-2024 11:35:53,28-10-2024 11:35:55,1.795s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin_1""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,28-10-2024 11:35:55,28-10-2024 11:35:55,0.407s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK_1""))",Chrome 130.0.0.0,,,28-10-2024 11:35:55,28-10-2024 11:35:56,0.722s,PASSED
