Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS9_POS_Suspend_Resume_Sale,Chrome 130.0.0.0,,,04-11-2024 09:57:18,04-11-2024 09:58:50,1m - 31.556s,PASSED
,,,,,,,
Test Cases/Nortruss Instance/PointofSale_Module/TS9_POS_SuspendResume_Sale/POS_Suspend_Sale,Chrome 130.0.0.0,,,04-11-2024 09:57:19,04-11-2024 09:57:59,40.285s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,04-11-2024 09:57:20,04-11-2024 09:57:22,2.894s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,04-11-2024 09:57:22,04-11-2024 09:57:23,0.169s,PASSED
"navigateToUrl(""http://frameworks.nt.nortruss.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 130.0.0.0,,,04-11-2024 09:57:23,04-11-2024 09:57:29,6.398s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_User ID_userid""), ""manaki"")",Chrome 130.0.0.0,,,04-11-2024 09:57:29,04-11-2024 09:57:34,4.496s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Password_password""), ""C5+8mNJ15mA="")",Chrome 130.0.0.0,,,04-11-2024 09:57:34,04-11-2024 09:57:34,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Login""))",Chrome 130.0.0.0,,,04-11-2024 09:57:34,04-11-2024 09:57:35,0.556s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img_FW""))",Chrome 130.0.0.0,,,04-11-2024 09:57:35,04-11-2024 09:57:38,3.697s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 130.0.0.0,,,04-11-2024 09:57:38,04-11-2024 09:57:41,2.973s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 130.0.0.0,,,04-11-2024 09:57:41,04-11-2024 09:57:42,0.736s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,04-11-2024 09:57:42,04-11-2024 09:57:45,3.412s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,04-11-2024 09:57:45,04-11-2024 09:57:46,0.459s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK""))",Chrome 130.0.0.0,,,04-11-2024 09:57:46,04-11-2024 09:57:47,1.136s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 130.0.0.0,,,04-11-2024 09:57:47,04-11-2024 09:57:49,1.862s,PASSED
println(invoiceNum),Chrome 130.0.0.0,,,04-11-2024 09:57:49,04-11-2024 09:57:49,0.008s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_P_prodId""), ""2014086"")",Chrome 130.0.0.0,,,04-11-2024 09:57:49,04-11-2024 09:57:50,0.910s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 130.0.0.0,,,04-11-2024 09:57:50,04-11-2024 09:57:50,0.417s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img""))",Chrome 130.0.0.0,,,04-11-2024 09:57:50,04-11-2024 09:57:52,1.331s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_SuspendSale""))",Chrome 130.0.0.0,,,04-11-2024 09:57:52,04-11-2024 09:57:53,1.705s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId_1""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,04-11-2024 09:57:53,04-11-2024 09:57:55,1.882s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin_1""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,04-11-2024 09:57:55,04-11-2024 09:57:56,0.653s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK_1""))",Chrome 130.0.0.0,,,04-11-2024 09:57:56,04-11-2024 09:57:56,0.593s,PASSED
sourceFile = new java.io.FileInputStream(ExcelFile),Chrome 130.0.0.0,,,04-11-2024 09:57:56,04-11-2024 09:57:56,0.016s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(sourceFile),Chrome 130.0.0.0,,,04-11-2024 09:57:56,04-11-2024 09:57:57,0.956s,PASSED
"sheet = workbook.getSheet(""Sheet1"")",Chrome 130.0.0.0,,,04-11-2024 09:57:57,04-11-2024 09:57:57,0.031s,PASSED
