Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS5_POS_CashRefund_Full_StockReturn_NT,Chrome 130.0.0.0,,,09-11-2024 08:01:59,09-11-2024 08:04:28,2m - 29.712s,PASSED
,,,,,,,
Test Cases/Nortruss Instance/PointofSale_Module/TS1_POS_CashSale/POS Cash Sale-2014086(TS5),Chrome 130.0.0.0,,,09-11-2024 08:01:59,09-11-2024 08:02:42,43.216s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,09-11-2024 08:02:00,09-11-2024 08:02:03,3.132s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,09-11-2024 08:02:03,09-11-2024 08:02:03,0.181s,PASSED
"navigateToUrl(""http://frameworks.nt.nortruss.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 130.0.0.0,,,09-11-2024 08:02:03,09-11-2024 08:02:11,7.617s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_User ID_userid""), ""manaki"")",Chrome 130.0.0.0,,,09-11-2024 08:02:11,09-11-2024 08:02:14,3.556s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Password_password""), ""C5+8mNJ15mA="")",Chrome 130.0.0.0,,,09-11-2024 08:02:14,09-11-2024 08:02:15,0.653s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Login""))",Chrome 130.0.0.0,,,09-11-2024 08:02:15,09-11-2024 08:02:16,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img_FW""))",Chrome 130.0.0.0,,,09-11-2024 08:02:16,09-11-2024 08:02:19,2.872s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 130.0.0.0,,,09-11-2024 08:02:19,09-11-2024 08:02:20,1.042s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 130.0.0.0,,,09-11-2024 08:02:20,09-11-2024 08:02:21,1.294s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,09-11-2024 08:02:21,09-11-2024 08:02:25,3.744s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,09-11-2024 08:02:25,09-11-2024 08:02:25,0.735s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK""))",Chrome 130.0.0.0,,,09-11-2024 08:02:25,09-11-2024 08:02:26,0.569s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 130.0.0.0,,,09-11-2024 08:02:26,09-11-2024 08:02:29,2.919s,PASSED
println(invoiceNum),Chrome 130.0.0.0,,,09-11-2024 08:02:29,09-11-2024 08:02:29,0.007s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_P_prodId""), ""2014086"")",Chrome 130.0.0.0,,,09-11-2024 08:02:29,09-11-2024 08:02:30,1.316s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 130.0.0.0,,,09-11-2024 08:02:30,09-11-2024 08:02:31,0.416s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img_1""))",Chrome 130.0.0.0,,,09-11-2024 08:02:31,09-11-2024 08:02:32,1.395s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_FinishSale (S)""))",Chrome 130.0.0.0,,,09-11-2024 08:02:32,09-11-2024 08:02:34,1.638s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Pay""))",Chrome 130.0.0.0,,,09-11-2024 08:02:34,09-11-2024 08:02:37,3.017s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId_1""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,09-11-2024 08:02:37,09-11-2024 08:02:39,1.943s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin_1""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,09-11-2024 08:02:39,09-11-2024 08:02:39,0.411s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK_1""))",Chrome 130.0.0.0,,,09-11-2024 08:02:39,09-11-2024 08:02:40,0.550s,PASSED
sourceFile = new java.io.FileInputStream(ExcelFile),Chrome 130.0.0.0,,,09-11-2024 08:02:40,09-11-2024 08:02:40,0.019s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(sourceFile),Chrome 130.0.0.0,,,09-11-2024 08:02:40,09-11-2024 08:02:41,0.997s,PASSED
"sheet = workbook.getSheet(""Sheet1"")",Chrome 130.0.0.0,,,09-11-2024 08:02:41,09-11-2024 08:02:41,0.007s,PASSED
row = sheet.getRow(0),Chrome 130.0.0.0,,,09-11-2024 08:02:41,09-11-2024 08:02:41,0.133s,PASSED
cell = row.getCell(1),Chrome 130.0.0.0,,,09-11-2024 08:02:41,09-11-2024 08:02:41,0.036s,PASSED
row = sheet.createRow(1),Chrome 130.0.0.0,,,09-11-2024 08:02:41,09-11-2024 08:02:41,0.011s,PASSED
cell = row.createCell(0),Chrome 130.0.0.0,,,09-11-2024 08:02:41,09-11-2024 08:02:41,0.002s,PASSED
"cell.setCellValue(""Invoice Number"")",Chrome 130.0.0.0,,,09-11-2024 08:02:41,09-11-2024 08:02:41,0.032s,PASSED
cell = row.createCell(1),Chrome 130.0.0.0,,,09-11-2024 08:02:41,09-11-2024 08:02:41,0.000s,PASSED
