Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS6_POS_CashRefund_Partial_StockReturn_NT,Chrome 130.0.0.0,,,09-11-2024 09:30:42,09-11-2024 09:33:14,2m - 31.599s,PASSED
,,,,,,,
Test Cases/Nortruss Instance/PointofSale_Module/TS1_POS_CashSale/POS Cash Sale-2014086(TS6),Chrome 130.0.0.0,,,09-11-2024 09:30:42,09-11-2024 09:31:24,41.403s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,09-11-2024 09:30:43,09-11-2024 09:30:46,3.003s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,09-11-2024 09:30:46,09-11-2024 09:30:46,0.126s,PASSED
"navigateToUrl(""http://frameworks.nt.nortruss.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 130.0.0.0,,,09-11-2024 09:30:46,09-11-2024 09:30:53,6.547s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_User ID_userid""), ""manaki"")",Chrome 130.0.0.0,,,09-11-2024 09:30:53,09-11-2024 09:30:57,4.437s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Password_password""), ""C5+8mNJ15mA="")",Chrome 130.0.0.0,,,09-11-2024 09:30:57,09-11-2024 09:30:58,0.477s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Login""))",Chrome 130.0.0.0,,,09-11-2024 09:30:58,09-11-2024 09:30:58,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img_FW""))",Chrome 130.0.0.0,,,09-11-2024 09:30:58,09-11-2024 09:31:01,2.767s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 130.0.0.0,,,09-11-2024 09:31:01,09-11-2024 09:31:03,1.315s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 130.0.0.0,,,09-11-2024 09:31:03,09-11-2024 09:31:03,0.920s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,09-11-2024 09:31:03,09-11-2024 09:31:06,2.536s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,09-11-2024 09:31:06,09-11-2024 09:31:06,0.448s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK""))",Chrome 130.0.0.0,,,09-11-2024 09:31:06,09-11-2024 09:31:08,1.106s,PASSED
