Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS4_POS_AccountCredit_Partial_NT,Chrome 130.0.0.0,,,20-11-2024 07:27:52,20-11-2024 07:31:07,3m - 15.215s,PASSED
,,,,,,,
Test Cases/Nortruss Instance/PointofSale_Module/TS2_POS_AccountSale/POS AccountSale-2023191(TS4),Chrome 130.0.0.0,,POS_AccountSale-2023191(TS4),20-11-2024 07:27:52,20-11-2024 07:28:47,54.904s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,20-11-2024 07:27:53,20-11-2024 07:27:56,2.808s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,20-11-2024 07:27:56,20-11-2024 07:27:56,0.125s,PASSED
"navigateToUrl(""http://frameworks.nt.nortruss.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 130.0.0.0,,,20-11-2024 07:27:56,20-11-2024 07:27:56,0.423s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_User ID_userid""), ""manaki"")",Chrome 130.0.0.0,,,20-11-2024 07:27:56,20-11-2024 07:28:07,10.919s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Password_password""), ""C5+8mNJ15mA="")",Chrome 130.0.0.0,,,20-11-2024 07:28:07,20-11-2024 07:28:08,0.528s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Login""))",Chrome 130.0.0.0,,,20-11-2024 07:28:08,20-11-2024 07:28:08,0.553s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img_FW""))",Chrome 130.0.0.0,,,20-11-2024 07:28:08,20-11-2024 07:28:14,5.814s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 130.0.0.0,,,20-11-2024 07:28:14,20-11-2024 07:28:15,0.746s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 130.0.0.0,,,20-11-2024 07:28:15,20-11-2024 07:28:16,1.423s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,20-11-2024 07:28:16,20-11-2024 07:28:19,2.951s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,20-11-2024 07:28:19,20-11-2024 07:28:20,0.465s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK""))",Chrome 130.0.0.0,,,20-11-2024 07:28:20,20-11-2024 07:28:20,0.587s,PASSED
"invoiceNum = getText(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_invoiceNum""))",Chrome 130.0.0.0,,,20-11-2024 07:28:20,20-11-2024 07:28:22,1.810s,PASSED
println(invoiceNum),Chrome 130.0.0.0,,,20-11-2024 07:28:22,20-11-2024 07:28:22,0.008s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_m_customerIdX""), ""17179"")",Chrome 130.0.0.0,,,20-11-2024 07:28:22,20-11-2024 07:28:23,0.965s,PASSED
