Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_POS_CashSale,Chrome 130.0.0.0,,,21-11-2024 17:01:59,21-11-2024 17:02:41,41.964s,PASSED
,,,,,,,
Test Cases/Nortruss Instance/PointofSale_Module/TS1_POS_CashSale/POS Cash Sale,Chrome 130.0.0.0,,,21-11-2024 17:01:59,21-11-2024 17:02:41,41.636s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,21-11-2024 17:02:00,21-11-2024 17:02:03,2.893s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,21-11-2024 17:02:03,21-11-2024 17:02:03,0.092s,PASSED
"navigateToUrl(""http://frameworks.nt.nortruss.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 130.0.0.0,,,21-11-2024 17:02:03,21-11-2024 17:02:11,8.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_User ID_userid""), ""manaki"")",Chrome 130.0.0.0,,,21-11-2024 17:02:11,21-11-2024 17:02:14,3.477s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Password_password""), ""C5+8mNJ15mA="")",Chrome 130.0.0.0,,,21-11-2024 17:02:14,21-11-2024 17:02:15,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Login""))",Chrome 130.0.0.0,,,21-11-2024 17:02:15,21-11-2024 17:02:16,0.566s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img_FW""))",Chrome 130.0.0.0,,,21-11-2024 17:02:16,21-11-2024 17:02:18,2.691s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 130.0.0.0,,,21-11-2024 17:02:18,21-11-2024 17:02:19,1.199s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 130.0.0.0,,,21-11-2024 17:02:19,21-11-2024 17:02:20,0.867s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,21-11-2024 17:02:20,21-11-2024 17:02:23,3.202s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,21-11-2024 17:02:23,21-11-2024 17:02:24,0.994s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK""))",Chrome 130.0.0.0,,,21-11-2024 17:02:24,21-11-2024 17:02:25,0.557s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_P_prodId""), ""2014086"")",Chrome 130.0.0.0,,,21-11-2024 17:02:25,21-11-2024 17:02:28,2.885s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 130.0.0.0,,,21-11-2024 17:02:28,21-11-2024 17:02:29,1.072s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img""))",Chrome 130.0.0.0,,,21-11-2024 17:02:29,21-11-2024 17:02:31,1.662s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_FinishSale (S)""))",Chrome 130.0.0.0,,,21-11-2024 17:02:31,21-11-2024 17:02:32,1.530s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Pay""))",Chrome 130.0.0.0,,,21-11-2024 17:02:32,21-11-2024 17:02:35,3.256s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId_1""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,21-11-2024 17:02:35,21-11-2024 17:02:37,1.805s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin_1""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,21-11-2024 17:02:37,21-11-2024 17:02:38,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK_1""))",Chrome 130.0.0.0,,,21-11-2024 17:02:38,21-11-2024 17:02:38,0.560s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img_dropdownLogout""))",Chrome 130.0.0.0,,,21-11-2024 17:02:38,21-11-2024 17:02:40,1.838s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_Logout""))",Chrome 130.0.0.0,,,21-11-2024 17:02:40,21-11-2024 17:02:41,0.604s,PASSED
