Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_POS_AccountSale,Chrome 130.0.0.0,,,21-11-2024 17:13:04,21-11-2024 17:13:56,51.866s,PASSED
,,,,,,,
Test Cases/Nortruss Instance/PointofSale_Module/TS2_POS_AccountSale/POS AccountSale-2023191,Chrome 130.0.0.0,,,21-11-2024 17:13:04,21-11-2024 17:13:56,51.531s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,21-11-2024 17:13:05,21-11-2024 17:13:08,2.929s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,21-11-2024 17:13:08,21-11-2024 17:13:08,0.173s,PASSED
"navigateToUrl(""http://frameworks.nt.nortruss.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 130.0.0.0,,,21-11-2024 17:13:08,21-11-2024 17:13:15,6.874s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_User ID_userid""), ""manaki"")",Chrome 130.0.0.0,,,21-11-2024 17:13:15,21-11-2024 17:13:18,3.415s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Password_password""), ""C5+8mNJ15mA="")",Chrome 130.0.0.0,,,21-11-2024 17:13:18,21-11-2024 17:13:18,0.516s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Login""))",Chrome 130.0.0.0,,,21-11-2024 17:13:18,21-11-2024 17:13:19,0.574s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img_FW""))",Chrome 130.0.0.0,,,21-11-2024 17:13:19,21-11-2024 17:13:22,2.654s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 130.0.0.0,,,21-11-2024 17:13:22,21-11-2024 17:13:23,0.864s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 130.0.0.0,,,21-11-2024 17:13:23,21-11-2024 17:13:24,0.933s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,21-11-2024 17:13:24,21-11-2024 17:13:27,3.653s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_PIN_pin""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,21-11-2024 17:13:27,21-11-2024 17:13:28,0.707s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_OK""))",Chrome 130.0.0.0,,,21-11-2024 17:13:28,21-11-2024 17:13:29,1.124s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_m_customerIdX""), ""17179"")",Chrome 130.0.0.0,,,21-11-2024 17:13:29,21-11-2024 17:13:32,2.908s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Tiffany Brown (17179)""))",Chrome 130.0.0.0,,,21-11-2024 17:13:32,21-11-2024 17:13:33,1.145s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_P_prodId""))",Chrome 130.0.0.0,,,21-11-2024 17:13:33,21-11-2024 17:13:34,0.723s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_Close (O)""))",Chrome 130.0.0.0,,,21-11-2024 17:13:34,21-11-2024 17:13:36,2.012s,PASSED
"setText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_P_prodId""), ""2023191"")",Chrome 130.0.0.0,,,21-11-2024 17:13:36,21-11-2024 17:13:37,1.175s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 130.0.0.0,,,21-11-2024 17:13:37,21-11-2024 17:13:37,0.533s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_LM_tallyQuantity_1""), ""2"")",Chrome 130.0.0.0,,,21-11-2024 17:13:37,21-11-2024 17:13:40,2.444s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_0.000""))",Chrome 130.0.0.0,,,21-11-2024 17:13:40,21-11-2024 17:13:41,0.584s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_LM_tallyLength""), ""2"")",Chrome 130.0.0.0,,,21-11-2024 17:13:41,21-11-2024 17:13:42,1.245s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/td_SaveClose (S)""))",Chrome 130.0.0.0,,,21-11-2024 17:13:42,21-11-2024 17:13:42,0.481s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/img""))",Chrome 130.0.0.0,,,21-11-2024 17:13:42,21-11-2024 17:13:44,1.803s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_FinishSale (S)""))",Chrome 130.0.0.0,,,21-11-2024 17:13:44,21-11-2024 17:13:46,1.855s,PASSED
"click(findTestObject(""Object Repository/Page_Frameworks (Demo)/div_Pay""))",Chrome 130.0.0.0,,,21-11-2024 17:13:46,21-11-2024 17:13:49,3.329s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Frameworks (Demo)/input_Operator No_operatorId_1""), ""uzzxF8+Oh1A="")",Chrome 130.0.0.0,,,21-11-2024 17:13:49,21-11-2024 17:13:52,2.264s,PASSED
