Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_SalesOrder_Account_NT,Chrome 130.0.0.0,,,25-11-2024 12:08:51,25-11-2024 12:10:24,1m - 33.261s,PASSED
,,,,,,,
Test Cases/Nortruss Instance/SalesOrders_Module/TS1_SO_SalesOrder_Account_NT/SO_Account_Sale,Chrome 130.0.0.0,,,25-11-2024 12:08:51,25-11-2024 12:09:57,1m - 5.893s,PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,25-11-2024 12:08:52,25-11-2024 12:08:55,3.104s,PASSED
maximizeWindow(),Chrome 130.0.0.0,,,25-11-2024 12:08:55,25-11-2024 12:08:55,0.238s,PASSED
"navigateToUrl(""http://frameworks.nt.nortruss.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 130.0.0.0,,,25-11-2024 12:08:55,25-11-2024 12:08:56,0.459s,PASSED
"setText(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/input_User ID_userid""), ""manaki"")",Chrome 130.0.0.0,,,25-11-2024 12:08:56,25-11-2024 12:09:06,10.361s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/input_Password_password""), ""C5+8mNJ15mA="")",Chrome 130.0.0.0,,,25-11-2024 12:09:06,25-11-2024 12:09:06,0.535s,PASSED
"click(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/div_Login""))",Chrome 130.0.0.0,,,25-11-2024 12:09:06,25-11-2024 12:09:07,0.583s,PASSED
"click(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/img_FW""))",Chrome 130.0.0.0,,,25-11-2024 12:09:07,25-11-2024 12:09:11,4.330s,PASSED
"click(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/b_Transaction Processing""))",Chrome 130.0.0.0,,,25-11-2024 12:09:11,25-11-2024 12:09:12,0.722s,PASSED
"click(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/td_Sales Orders""))",Chrome 130.0.0.0,,,25-11-2024 12:09:12,25-11-2024 12:09:13,0.740s,PASSED
"click(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/div_New""))",Chrome 130.0.0.0,,,25-11-2024 12:09:13,25-11-2024 12:09:15,2.500s,PASSED
"setText(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/input_Operator No_operatorId""), ""2237"")",Chrome 130.0.0.0,,,25-11-2024 12:09:15,25-11-2024 12:09:19,3.601s,PASSED
"setText(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/input_PIN_pin""), ""2237"")",Chrome 130.0.0.0,,,25-11-2024 12:09:19,25-11-2024 12:09:20,0.718s,PASSED
"click(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/div_OK""))",Chrome 130.0.0.0,,,25-11-2024 12:09:20,25-11-2024 12:09:20,0.559s,PASSED
"setText(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/input_Customer_idCustX""), ""17179"")",Chrome 130.0.0.0,,,25-11-2024 12:09:20,25-11-2024 12:09:23,2.521s,PASSED
"click(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/div_Tiffany Brown (17179)""))",Chrome 130.0.0.0,,,25-11-2024 12:09:23,25-11-2024 12:09:24,1.188s,PASSED
"click(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/span""))",Chrome 130.0.0.0,,,25-11-2024 12:09:24,25-11-2024 12:09:25,0.631s,PASSED
"click(findTestObject(""Object Repository/SalesOrder_NT/Page_Frameworks (Demo)/td_Close (O)_StaffChargeAccount""))",Chrome 130.0.0.0,,,25-11-2024 12:09:25,25-11-2024 12:09:27,2.280s,PASSED
