Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_BT_BranchTransfer_NT,Chrome 131.0.0.0,,,01-12-2024 10:11:41,01-12-2024 10:15:15,3m - 34.344s,PASSED
,,,,,,,
Test Cases/Nortruss Instance/BranchTransfer_Module/TS1_BT_BranchTransfer/Create_Purchase_Order_NT,Chrome 131.0.0.0,,,01-12-2024 10:11:41,01-12-2024 10:12:53,1m - 12.068s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,01-12-2024 10:11:42,01-12-2024 10:11:45,3.051s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,01-12-2024 10:11:45,01-12-2024 10:11:45,0.155s,PASSED
"navigateToUrl(""http://frameworks.nt.nortruss.com.au:8080/FWDemo/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 131.0.0.0,,,01-12-2024 10:11:45,01-12-2024 10:11:56,10.259s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/input_User ID_userid""), ""manaki"")",Chrome 131.0.0.0,,,01-12-2024 10:11:56,01-12-2024 10:12:03,6.942s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/input_Password_password""), ""C5+8mNJ15mA="")",Chrome 131.0.0.0,,,01-12-2024 10:12:03,01-12-2024 10:12:03,0.743s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_Login""))",Chrome 131.0.0.0,,,01-12-2024 10:12:03,01-12-2024 10:12:04,0.671s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/img_FW""))",Chrome 131.0.0.0,,,01-12-2024 10:12:04,01-12-2024 10:12:08,4.464s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/b_Purchasing  Receipting""))",Chrome 131.0.0.0,,,01-12-2024 10:12:08,01-12-2024 10:12:09,0.979s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/Transaction Processing""))",Chrome 131.0.0.0,,,01-12-2024 10:12:09,01-12-2024 10:12:10,0.743s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/td_Purchase Orders""))",Chrome 131.0.0.0,,,01-12-2024 10:12:10,01-12-2024 10:12:11,0.677s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_New""))",Chrome 131.0.0.0,,,01-12-2024 10:12:11,01-12-2024 10:12:13,1.740s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/input_Operator No_operatorId""), ""uzzxF8+Oh1A="")",Chrome 131.0.0.0,,,01-12-2024 10:12:13,01-12-2024 10:12:15,2.491s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/input_PIN_pin""), ""uzzxF8+Oh1A="")",Chrome 131.0.0.0,,,01-12-2024 10:12:15,01-12-2024 10:12:16,0.437s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_OK""))",Chrome 131.0.0.0,,,01-12-2024 10:12:16,01-12-2024 10:12:16,0.599s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/input_Supplier No_idSupp""), ""Branch1"")",Chrome 131.0.0.0,,,01-12-2024 10:12:16,01-12-2024 10:12:18,2.292s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_Nortruss Branch Transfer (Branch1)""))",Chrome 131.0.0.0,,,01-12-2024 10:12:18,01-12-2024 10:12:20,1.273s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_1 - DEMONSTRATION BRANCH 001""))",Chrome 131.0.0.0,,,01-12-2024 10:12:20,01-12-2024 10:12:20,0.626s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_2 - DEMONSTRATION BRANCH 002""))",Chrome 131.0.0.0,,,01-12-2024 10:12:20,01-12-2024 10:12:22,1.405s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/img_Date Required_isc_FZ""))",Chrome 131.0.0.0,,,01-12-2024 10:12:22,01-12-2024 10:12:23,1.237s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/td_Today""))",Chrome 131.0.0.0,,,01-12-2024 10:12:23,01-12-2024 10:12:24,1.302s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/img_Shipping Basis_isc_GD""))",Chrome 131.0.0.0,,,01-12-2024 10:12:24,01-12-2024 10:12:25,1.166s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_PU - PICK UP FROM SUPP""))",Chrome 131.0.0.0,,,01-12-2024 10:12:25,01-12-2024 10:12:26,1.035s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_Pickup Method_isc_GY""))",Chrome 131.0.0.0,,,01-12-2024 10:12:26,01-12-2024 10:12:27,0.972s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_PICKU - Pick up From Store""))",Chrome 131.0.0.0,,,01-12-2024 10:12:27,01-12-2024 10:12:28,0.973s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/input_Address_addressSupp1""), ""Kimberley"")",Chrome 131.0.0.0,,,01-12-2024 10:12:28,01-12-2024 10:12:30,1.211s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/td_Save (S)""))",Chrome 131.0.0.0,,,01-12-2024 10:12:30,01-12-2024 10:12:30,0.707s,PASSED
"PurchaseOrder = getText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/purchaseOrderNo""))",Chrome 131.0.0.0,,,01-12-2024 10:12:30,01-12-2024 10:12:35,4.387s,PASSED
"setText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/input_P_idProd""), ""2014086"")",Chrome 131.0.0.0,,,01-12-2024 10:12:35,01-12-2024 10:12:37,1.775s,PASSED
"doubleClick(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/input_Quantity_qtyTran_1""))",Chrome 131.0.0.0,,,01-12-2024 10:12:37,01-12-2024 10:12:37,0.513s,PASSED
"sendKeys(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/input_Quantity_qtyTran_1""), ""2"")",Chrome 131.0.0.0,,,01-12-2024 10:12:37,01-12-2024 10:12:38,1.216s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/img_1""))",Chrome 131.0.0.0,,,01-12-2024 10:12:38,01-12-2024 10:12:39,1.216s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_Actions""))",Chrome 131.0.0.0,,,01-12-2024 10:12:39,01-12-2024 10:12:41,1.780s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_Finalise Transfer""))",Chrome 131.0.0.0,,,01-12-2024 10:12:41,01-12-2024 10:12:42,1.216s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/td_Despatch Method_isc_17A""))",Chrome 131.0.0.0,,,01-12-2024 10:12:42,01-12-2024 10:12:47,4.088s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/div_PICKU - Pick up From Store_1""))",Chrome 131.0.0.0,,,01-12-2024 10:12:47,01-12-2024 10:12:48,1.055s,PASSED
"click(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/td_Save (S)_1_2""))",Chrome 131.0.0.0,,,01-12-2024 10:12:48,01-12-2024 10:12:49,1.594s,PASSED
"SalesOrder = getText(findTestObject(""Object Repository/TS1_BT_BranchTransfer_NT/Page_Frameworks (Demo)/a_Tfer SO""))",Chrome 131.0.0.0,,,01-12-2024 10:12:49,01-12-2024 10:12:50,0.960s,PASSED
println(SalesOrder),Chrome 131.0.0.0,,,01-12-2024 10:12:50,01-12-2024 10:12:50,0.011s,PASSED
println(PurchaseOrder),Chrome 131.0.0.0,,,01-12-2024 10:12:50,01-12-2024 10:12:50,0.003s,PASSED
sourceFile = new java.io.FileInputStream(ExcelFile),Chrome 131.0.0.0,,,01-12-2024 10:12:50,01-12-2024 10:12:50,0.019s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(sourceFile),Chrome 131.0.0.0,,,01-12-2024 10:12:50,01-12-2024 10:12:51,0.875s,PASSED
"sheet = workbook.getSheet(""Sheet1"")",Chrome 131.0.0.0,,,01-12-2024 10:12:51,01-12-2024 10:12:51,0.004s,PASSED
row = sheet.getRow(0),Chrome 131.0.0.0,,,01-12-2024 10:12:51,01-12-2024 10:12:51,0.105s,PASSED
cell = row.getCell(1),Chrome 131.0.0.0,,,01-12-2024 10:12:51,01-12-2024 10:12:51,0.021s,PASSED
row = sheet.createRow(1),Chrome 131.0.0.0,,,01-12-2024 10:12:51,01-12-2024 10:12:51,0.007s,PASSED
