Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_POS_AccountSale,Chrome 131.0.0.0,Combined Test Suite for TS1_POS_CashSale and TS2_POS_AccountSale,,05-12-2024 05:39:52,05-12-2024 05:41:01,1m - 8.831s,PASSED
,,,,,,,
Test Cases/DBC_Instance/PointofSale_Module/TS2_POS_AccountSale/POS_AccountSale - New,Chrome 131.0.0.0,,,05-12-2024 05:39:52,05-12-2024 05:40:48,55.758s,PASSED
sourceTestData_FwksEnv = new java.io.FileInputStream(Source_Env),Chrome 131.0.0.0,,,05-12-2024 05:39:54,05-12-2024 05:39:54,0.029s,PASSED
sourceTestDataContainer_workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(sourceTestData_FwksEnv),Chrome 131.0.0.0,,,05-12-2024 05:39:54,05-12-2024 05:39:55,0.890s,PASSED
"sourceTestData_sheet = sourceTestDataContainer_workbook.getSheet(""Sheet1"")",Chrome 131.0.0.0,,,05-12-2024 05:39:55,05-12-2024 05:39:55,0.013s,PASSED
currentSheet_row = sourceTestData_sheet.getRow(1),Chrome 131.0.0.0,,,05-12-2024 05:39:55,05-12-2024 05:39:55,0.109s,PASSED
currentSheet_cell = currentSheet_row.getCell(1),Chrome 131.0.0.0,,,05-12-2024 05:39:55,05-12-2024 05:39:55,0.021s,PASSED
DBC_Demo = currentSheet_cell.getStringCellValue(),Chrome 131.0.0.0,,,05-12-2024 05:39:55,05-12-2024 05:39:55,0.091s,PASSED
println(DBC_Demo),Chrome 131.0.0.0,,,05-12-2024 05:39:55,05-12-2024 05:39:55,0.018s,PASSED
sourceTestData_FwksEnv.close(),Chrome 131.0.0.0,,,05-12-2024 05:39:55,05-12-2024 05:39:55,0.013s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,05-12-2024 05:39:55,05-12-2024 05:39:58,3.134s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,05-12-2024 05:39:58,05-12-2024 05:39:59,0.414s,PASSED
navigateToUrl(DBC_Demo),Chrome 131.0.0.0,,,05-12-2024 05:39:59,05-12-2024 05:40:00,1.442s,PASSED
