Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_POS_AccountSale_CHC,Chrome 131.0.0.0,,,05-12-2024 10:33:29,05-12-2024 10:37:34,4m - 5.370s,PASSED
,,,,,,,
Test Cases/CHC_Instance/PointofSale_Module/TS2_POS_AccountSale/POS_AccountSale_CHC,Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:36:15,1m - 7.988s,PASSED
sourceTestData_FwksEnv = new java.io.FileInputStream(Source_Env),Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:35:07,0.006s,PASSED
sourceTestDataContainer_workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(sourceTestData_FwksEnv),Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:35:07,0.026s,PASSED
"sourceTestData_sheet = sourceTestDataContainer_workbook.getSheet(""Sheet1"")",Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:35:07,0.001s,PASSED
currentSheet_row = sourceTestData_sheet.getRow(2),Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:35:07,0.003s,PASSED
currentSheet_cell = currentSheet_row.getCell(1),Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:35:07,0.001s,PASSED
CHC_Demo = currentSheet_cell.getStringCellValue(),Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:35:07,0.001s,PASSED
println(CHC_Demo),Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:35:07,0.000s,PASSED
sourceTestData_FwksEnv.close(),Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:35:07,0.000s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,05-12-2024 10:35:07,05-12-2024 10:35:09,1.609s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,05-12-2024 10:35:09,05-12-2024 10:35:09,0.102s,PASSED
