Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS3_SO_Quote_Cash_CHC,Chrome 131.0.0.0,,,30-12-2024 09:55:11,30-12-2024 09:57:59,2m - 48.796s,PASSED
,,,,,,,
Test Cases/CHC_Instance/SalesOrders_Module/TS3_SO_Quote_Cash/SO_Quote_Cash_Sale_CHC,Chrome 131.0.0.0,,,30-12-2024 09:55:11,30-12-2024 09:57:37,2m - 26.210s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,30-12-2024 09:55:12,30-12-2024 09:55:15,2.961s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,30-12-2024 09:55:15,30-12-2024 09:55:15,0.150s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo2/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 131.0.0.0,,,30-12-2024 09:55:15,30-12-2024 09:55:21,5.363s,PASSED
delay(3),Chrome 131.0.0.0,,,30-12-2024 09:55:21,30-12-2024 09:55:24,3.097s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_Cash_Sale_Cash/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 131.0.0.0,,,30-12-2024 09:55:24,30-12-2024 09:55:25,0.972s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SO_Quote_Cash_Sale_Cash/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,30-12-2024 09:55:25,30-12-2024 09:55:25,0.557s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Cash_Sale_Cash/Page_Frameworks (Demo)/div_Login""))",Chrome 131.0.0.0,,,30-12-2024 09:55:25,30-12-2024 09:55:26,0.590s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Cash_Sale_Cash/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 131.0.0.0,,,30-12-2024 09:55:26,30-12-2024 09:55:29,2.804s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Cash_Sale_Cash/Page_Frameworks (Demo)/Sales_TransactionProcessing""))",Chrome 131.0.0.0,,,30-12-2024 09:55:29,30-12-2024 09:55:30,0.874s,PASSED
