Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2_SO_SalesOrder_Quote_Account_CHC,Chrome 131.0.0.0,,,01-01-2025 07:53:28,01-01-2025 07:56:54,3m - 25.882s,PASSED
,,,,,,,
Test Cases/CHC_Instance/SalesOrders_Module/TS2_SO_SalesOrder_Quote_Account/SO_Quote_Account_Sale_CHC,Chrome 131.0.0.0,,,01-01-2025 07:53:29,01-01-2025 07:56:13,2m - 44.775s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,01-01-2025 07:53:31,01-01-2025 07:53:36,5.076s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,01-01-2025 07:53:36,01-01-2025 07:53:36,0.732s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo2/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 131.0.0.0,,,01-01-2025 07:53:36,01-01-2025 07:53:42,5.537s,PASSED
delay(3),Chrome 131.0.0.0,,,01-01-2025 07:53:42,01-01-2025 07:53:45,3.115s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 131.0.0.0,,,01-01-2025 07:53:45,01-01-2025 07:53:47,1.672s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,01-01-2025 07:53:47,01-01-2025 07:53:47,0.734s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/div_Login""))",Chrome 131.0.0.0,,,01-01-2025 07:53:47,01-01-2025 07:53:48,0.553s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 131.0.0.0,,,01-01-2025 07:53:48,01-01-2025 07:53:54,6.395s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/Sales_TransactionProcessing""))",Chrome 131.0.0.0,,,01-01-2025 07:53:54,01-01-2025 07:53:56,1.604s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/td_Sales Orders""))",Chrome 131.0.0.0,,,01-01-2025 07:53:56,01-01-2025 07:53:57,0.808s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/div_New""))",Chrome 131.0.0.0,,,01-01-2025 07:53:57,01-01-2025 07:53:59,2.064s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/div_Order""))",Chrome 131.0.0.0,,,01-01-2025 07:53:59,01-01-2025 07:54:03,4.601s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/div_Quote""))",Chrome 131.0.0.0,,,01-01-2025 07:54:03,01-01-2025 07:54:04,1.002s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/input_Customer_idCustX""), ""Lee Pearce"")",Chrome 131.0.0.0,,,01-01-2025 07:54:04,01-01-2025 07:54:06,1.201s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/div_Lee Pearce (518451)""))",Chrome 131.0.0.0,,,01-01-2025 07:54:06,01-01-2025 07:54:07,1.138s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/input_Cust Order_custOrderRef""))",Chrome 131.0.0.0,,,01-01-2025 07:54:07,01-01-2025 07:54:07,0.671s,PASSED
delay(2),Chrome 131.0.0.0,,,01-01-2025 07:54:07,01-01-2025 07:54:09,2.013s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo)/td_Close (O)""))",Chrome 131.0.0.0,,,01-01-2025 07:54:09,01-01-2025 07:54:10,0.601s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo2)/div_501 - DEMONSTRATION BRANCH 501""))",Chrome 131.0.0.0,,,01-01-2025 07:54:10,01-01-2025 07:54:11,0.977s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo2)/div_510 - DEMONSTRATION BRANCH 510""))",Chrome 131.0.0.0,,,01-01-2025 07:54:11,01-01-2025 07:54:12,0.659s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo2)/div_Desp. Method_isc_IA""))",Chrome 131.0.0.0,,,01-01-2025 07:54:12,01-01-2025 07:54:13,0.820s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo2)/div_SUPP - Supplier Direct Delivery""))",Chrome 131.0.0.0,,,01-01-2025 07:54:13,01-01-2025 07:54:14,0.999s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo2)/img_Follow-up Date_isc_IL""))",Chrome 131.0.0.0,,,01-01-2025 07:54:14,01-01-2025 07:54:15,1.403s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo2)/td_Today""))",Chrome 131.0.0.0,,,01-01-2025 07:54:15,01-01-2025 07:54:16,1.017s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo2)/input_Address_deliverToAddress2""), ""154 Scott Street"")",Chrome 131.0.0.0,,,01-01-2025 07:54:16,01-01-2025 07:54:17,1.037s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo2)/input_SuburbCity_deliverToAddress3""), ""Cairns"")",Chrome 131.0.0.0,,,01-01-2025 07:54:17,01-01-2025 07:54:18,0.933s,PASSED
"scrollToElement(findTestObject(""Object Repository/SO_Quote_Account/Page_Frameworks (Demo2)/img_State_isc_KN""), 2)",Chrome 131.0.0.0,,,01-01-2025 07:54:18,01-01-2025 07:54:18,0.587s,PASSED
