Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS4_SO_Quote_COD,Chrome 131.0.0.0,,,06-01-2025 06:02:51,06-01-2025 06:05:28,2m - 37.708s,PASSED
,,,,,,,
Test Cases/CHC_Instance/SalesOrders_Module/TS4_SO_Quote_COD/SO_Quote_COD_CHC,Chrome 131.0.0.0,,,06-01-2025 06:02:51,06-01-2025 06:05:00,2m - 9.333s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,06-01-2025 06:02:52,06-01-2025 06:02:55,3.150s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,06-01-2025 06:02:55,06-01-2025 06:02:55,0.168s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo2/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 131.0.0.0,,,06-01-2025 06:02:55,06-01-2025 06:02:56,0.419s,PASSED
delay(3),Chrome 131.0.0.0,,,06-01-2025 06:02:56,06-01-2025 06:02:59,3.075s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 131.0.0.0,,,06-01-2025 06:02:59,06-01-2025 06:03:04,5.017s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,06-01-2025 06:03:04,06-01-2025 06:03:05,0.622s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/div_Login""))",Chrome 131.0.0.0,,,06-01-2025 06:03:05,06-01-2025 06:03:05,0.600s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 131.0.0.0,,,06-01-2025 06:03:05,06-01-2025 06:03:08,2.735s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/Sales_TransactionProcessing""))",Chrome 131.0.0.0,,,06-01-2025 06:03:08,06-01-2025 06:03:10,2.410s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/td_Sales Orders""))",Chrome 131.0.0.0,,,06-01-2025 06:03:10,06-01-2025 06:03:11,0.855s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/div_New""))",Chrome 131.0.0.0,,,06-01-2025 06:03:11,06-01-2025 06:03:13,2.082s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/div_Order""))",Chrome 131.0.0.0,,,06-01-2025 06:03:13,06-01-2025 06:03:17,4.075s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/div_Quote""))",Chrome 131.0.0.0,,,06-01-2025 06:03:17,06-01-2025 06:03:18,0.999s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/img_1_2""))",Chrome 131.0.0.0,,,06-01-2025 06:03:18,06-01-2025 06:03:19,0.895s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/input_Name_custName""), ""John Smith"")",Chrome 131.0.0.0,,,06-01-2025 06:03:19,06-01-2025 06:03:22,2.316s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/input_Postal Address_postalAddress1""), ""123 Cairns Street"")",Chrome 131.0.0.0,,,06-01-2025 06:03:22,06-01-2025 06:03:23,1.014s,PASSED
delay(2),Chrome 131.0.0.0,,,06-01-2025 06:03:23,06-01-2025 06:03:25,2.021s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/input_Suburb_postalAddress2""), ""Cairns"")",Chrome 131.0.0.0,,,06-01-2025 06:03:25,06-01-2025 06:03:25,0.860s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_State_isc_S2""))",Chrome 131.0.0.0,,,06-01-2025 06:03:25,06-01-2025 06:03:26,0.939s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_QLD - Queensland""))",Chrome 131.0.0.0,,,06-01-2025 06:03:26,06-01-2025 06:03:28,1.183s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/input_Contact Name_custContact""), ""John Smith"")",Chrome 131.0.0.0,,,06-01-2025 06:03:28,06-01-2025 06:03:29,1.149s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/input_Phone (M)_phoneMobile""), ""000000000000"")",Chrome 131.0.0.0,,,06-01-2025 06:03:29,06-01-2025 06:03:30,1.001s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Save (S)_1_2_3_4_5""))",Chrome 131.0.0.0,,,06-01-2025 06:03:30,06-01-2025 06:03:30,0.610s,PASSED
"CustomerID = getAttribute(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/input_Customer_idCustX""), ""value"")",Chrome 131.0.0.0,,,06-01-2025 06:03:30,06-01-2025 06:03:32,1.447s,PASSED
println(CustomerID),Chrome 131.0.0.0,,,06-01-2025 06:03:32,06-01-2025 06:03:32,0.016s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_501 - DEMONSTRATION BRANCH 501""))",Chrome 131.0.0.0,,,06-01-2025 06:03:32,06-01-2025 06:03:32,0.539s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_510 - DEMONSTRATION BRANCH 510""))",Chrome 131.0.0.0,,,06-01-2025 06:03:32,06-01-2025 06:03:33,0.977s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Desp. Method_isc_IH""))",Chrome 131.0.0.0,,,06-01-2025 06:03:33,06-01-2025 06:03:34,0.888s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_PICK - Customer to Pick up""))",Chrome 131.0.0.0,,,06-01-2025 06:03:34,06-01-2025 06:03:35,1.113s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/img_Follow-up Date_isc_IL""))",Chrome 131.0.0.0,,,06-01-2025 06:03:35,06-01-2025 06:03:37,1.221s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Today""))",Chrome 131.0.0.0,,,06-01-2025 06:03:37,06-01-2025 06:03:38,1.051s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Save (S)""))",Chrome 131.0.0.0,,,06-01-2025 06:03:38,06-01-2025 06:03:38,0.844s,PASSED
delay(8),Chrome 131.0.0.0,,,06-01-2025 06:03:38,06-01-2025 06:03:46,8.005s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/input_P_idProd""), ""5155103"")",Chrome 131.0.0.0,,,06-01-2025 06:03:46,06-01-2025 06:03:47,0.722s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/input_Quantity_qtyTran""), STOP_ON_FAILURE)",Chrome 131.0.0.0,,,06-01-2025 06:03:47,06-01-2025 06:03:48,0.588s,PASSED
delay(3),Chrome 131.0.0.0,,,06-01-2025 06:03:48,06-01-2025 06:03:51,3.018s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/input_Tally_tallyText""), ""1/3"")",Chrome 131.0.0.0,,,06-01-2025 06:03:51,06-01-2025 06:03:51,0.684s,PASSED
takeFullPageScreenshot(),Chrome 131.0.0.0,,,06-01-2025 06:03:51,06-01-2025 06:03:52,0.672s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/img_1""))",Chrome 131.0.0.0,,,06-01-2025 06:03:52,06-01-2025 06:03:53,0.538s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Actions""))",Chrome 131.0.0.0,,,06-01-2025 06:03:53,06-01-2025 06:03:55,2.078s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Mark as Entry Complete""))",Chrome 131.0.0.0,,,06-01-2025 06:03:55,06-01-2025 06:03:56,1.110s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Save (S)_1_2_3""))",Chrome 131.0.0.0,,,06-01-2025 06:03:56,06-01-2025 06:04:01,4.659s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Actions""))",Chrome 131.0.0.0,,,06-01-2025 06:04:01,06-01-2025 06:04:03,2.595s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Accept Quote""))",Chrome 131.0.0.0,,,06-01-2025 06:04:03,06-01-2025 06:04:04,1.114s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Accept This Date_isc_1PH""))",Chrome 131.0.0.0,,,06-01-2025 06:04:04,06-01-2025 06:04:09,4.714s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Save (S)_1_2_3_4_5_6""))",Chrome 131.0.0.0,,,06-01-2025 06:04:09,06-01-2025 06:04:10,1.048s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Actions""))",Chrome 131.0.0.0,,,06-01-2025 06:04:10,06-01-2025 06:04:12,2.470s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Mark as Entry Complete_1""))",Chrome 131.0.0.0,,,06-01-2025 06:04:12,06-01-2025 06:04:14,1.128s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Confirm Date""))",Chrome 131.0.0.0,,,06-01-2025 06:04:14,06-01-2025 06:04:19,5.377s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Today""))",Chrome 131.0.0.0,,,06-01-2025 06:04:19,06-01-2025 06:04:21,1.925s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Date Is Confirmed""))",Chrome 131.0.0.0,,,06-01-2025 06:04:21,06-01-2025 06:04:22,1.199s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Apply (S)""))",Chrome 131.0.0.0,,,06-01-2025 06:04:22,06-01-2025 06:04:23,0.915s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Save (S)_1""))",Chrome 131.0.0.0,,,06-01-2025 06:04:23,06-01-2025 06:04:25,1.542s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Actions""))",Chrome 131.0.0.0,,,06-01-2025 06:04:25,06-01-2025 06:04:26,1.823s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Make Payment""))",Chrome 131.0.0.0,,,06-01-2025 06:04:26,06-01-2025 06:04:35,8.355s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Please Select""))",Chrome 131.0.0.0,,,06-01-2025 06:04:35,06-01-2025 06:04:39,4.416s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_EFTPOS""))",Chrome 131.0.0.0,,,06-01-2025 06:04:39,06-01-2025 06:04:40,1.021s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Pay""))",Chrome 131.0.0.0,,,06-01-2025 06:04:40,06-01-2025 06:04:41,0.889s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/img""))",Chrome 131.0.0.0,,,06-01-2025 06:04:41,06-01-2025 06:04:43,2.258s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Actions""))",Chrome 131.0.0.0,,,06-01-2025 06:04:43,06-01-2025 06:04:47,4.131s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Pick  Release""))",Chrome 131.0.0.0,,,06-01-2025 06:04:47,06-01-2025 06:04:49,1.093s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Pick All""))",Chrome 131.0.0.0,,,06-01-2025 06:04:49,06-01-2025 06:04:52,3.058s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Complete Picking""))",Chrome 131.0.0.0,,,06-01-2025 06:04:52,06-01-2025 06:04:52,0.663s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Release Order""))",Chrome 131.0.0.0,,,06-01-2025 06:04:52,06-01-2025 06:04:54,1.437s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/div_Print Delivery Docket_isc_2SZ""))",Chrome 131.0.0.0,,,06-01-2025 06:04:54,06-01-2025 06:04:56,2.296s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo2)/td_Release (S)""))",Chrome 131.0.0.0,,,06-01-2025 06:04:56,06-01-2025 06:04:57,1.341s,PASSED
println(CustomerID),Chrome 131.0.0.0,,,06-01-2025 06:04:57,06-01-2025 06:04:57,0.001s,PASSED
sourceFile = new java.io.FileInputStream(ExcelFile),Chrome 131.0.0.0,,,06-01-2025 06:04:57,06-01-2025 06:04:57,0.017s,PASSED
