Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PO_PurchaseOrder_Stock_CHC,Chrome 131.0.0.0,,,08-01-2025 13:37:43,08-01-2025 13:39:19,1m - 35.810s,PASSED
,,,,,,,
Test Cases/CHC_Instance/PurchaseOrder_Module/PO_PurcahseOrder_CHC,Chrome 131.0.0.0,,,08-01-2025 13:37:44,08-01-2025 13:38:38,54.287s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,08-01-2025 13:37:45,08-01-2025 13:37:49,3.864s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,08-01-2025 13:37:49,08-01-2025 13:37:49,0.228s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo2/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 131.0.0.0,,,08-01-2025 13:37:49,08-01-2025 13:37:49,0.388s,PASSED
delay(3),Chrome 131.0.0.0,,,08-01-2025 13:37:49,08-01-2025 13:37:52,3.085s,PASSED
"setText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/input_User ID_userid""), userName)",Chrome 131.0.0.0,,,08-01-2025 13:37:52,08-01-2025 13:37:56,3.736s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,08-01-2025 13:37:56,08-01-2025 13:37:57,0.683s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/div_Login""))",Chrome 131.0.0.0,,,08-01-2025 13:37:57,08-01-2025 13:37:57,0.546s,PASSED
"click(findTestObject(""Object Repository/SO_Quote_COD_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 131.0.0.0,,,08-01-2025 13:37:57,08-01-2025 13:38:00,3.042s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/b_Purchasing  Receipting""))",Chrome 131.0.0.0,,,08-01-2025 13:38:00,08-01-2025 13:38:01,0.749s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/span_Purchasing  Receipting_isc_78icon_10""))",Chrome 131.0.0.0,,,08-01-2025 13:38:01,08-01-2025 13:38:02,1.233s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/td_Purchase Orders""))",Chrome 131.0.0.0,,,08-01-2025 13:38:02,08-01-2025 13:38:04,2.113s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/div_New""))",Chrome 131.0.0.0,,,08-01-2025 13:38:04,08-01-2025 13:38:07,2.344s,PASSED
"setText(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/input_Supplier No_idSupp""), ""Recochem"")",Chrome 131.0.0.0,,,08-01-2025 13:38:07,08-01-2025 13:38:10,3.537s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/div_Recochem Inc (RECOCHEM)""))",Chrome 131.0.0.0,,,08-01-2025 13:38:10,08-01-2025 13:38:12,1.172s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/div_501 - DEMONSTRATION BRANCH 501""))",Chrome 131.0.0.0,,,08-01-2025 13:38:12,08-01-2025 13:38:12,0.682s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/div_510 - DEMONSTRATION BRANCH 510""))",Chrome 131.0.0.0,,,08-01-2025 13:38:12,08-01-2025 13:38:13,1.125s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/img_Date Required_isc_G6""))",Chrome 131.0.0.0,,,08-01-2025 13:38:13,08-01-2025 13:38:14,1.128s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/div_7""))",Chrome 131.0.0.0,,,08-01-2025 13:38:14,08-01-2025 13:38:16,1.449s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/td_Save (S)""))",Chrome 131.0.0.0,,,08-01-2025 13:38:16,08-01-2025 13:38:17,0.800s,PASSED
"setText(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/input_P_idProd""), ""5006866 "")",Chrome 131.0.0.0,,,08-01-2025 13:38:17,08-01-2025 13:38:20,3.481s,PASSED
delay(3),Chrome 131.0.0.0,,,08-01-2025 13:38:20,08-01-2025 13:38:23,3.022s,PASSED
"setText(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/input_Quantity_qtyTran""), ""12"")",Chrome 131.0.0.0,,,08-01-2025 13:38:23,08-01-2025 13:38:25,1.372s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/img""))",Chrome 131.0.0.0,,,08-01-2025 13:38:25,08-01-2025 13:38:25,0.736s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/div_Actions""))",Chrome 131.0.0.0,,,08-01-2025 13:38:25,08-01-2025 13:38:27,1.800s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/div_Print Order""))",Chrome 131.0.0.0,,,08-01-2025 13:38:27,08-01-2025 13:38:28,1.118s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/img_Print_isc_168""))",Chrome 131.0.0.0,,,08-01-2025 13:38:28,08-01-2025 13:38:32,3.704s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/div_E-mail""))",Chrome 131.0.0.0,,,08-01-2025 13:38:32,08-01-2025 13:38:33,1.110s,PASSED
"click(findTestObject(""Object Repository/PO_Stock_PurchaseOrder_CHC/Page_Frameworks (Demo2)/td_Go""))",Chrome 131.0.0.0,,,08-01-2025 13:38:33,08-01-2025 13:38:34,0.984s,PASSED
