Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Till_Reconciliation_CHC,Chrome 131.0.0.0,,,11-01-2025 05:52:39,11-01-2025 05:54:20,1m - 41.726s,PASSED
,,,,,,,
Test Cases/CHC_Instance/Till Reconciliation/Till Reconciliation_CHC/POS_CashSale,Chrome 131.0.0.0,,,11-01-2025 05:52:39,11-01-2025 05:53:17,37.718s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,11-01-2025 05:52:40,11-01-2025 05:52:43,2.828s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,11-01-2025 05:52:43,11-01-2025 05:52:43,0.193s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo2/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 131.0.0.0,,,11-01-2025 05:52:43,11-01-2025 05:52:47,4.725s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/input_User ID_userid""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,11-01-2025 05:52:47,11-01-2025 05:52:50,2.458s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,11-01-2025 05:52:50,11-01-2025 05:52:50,0.458s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/div_Login""))",Chrome 131.0.0.0,,,11-01-2025 05:52:50,11-01-2025 05:52:51,0.569s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 131.0.0.0,,,11-01-2025 05:52:51,11-01-2025 05:52:55,3.977s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/Sales_TransactionProcessing""))",Chrome 131.0.0.0,,,11-01-2025 05:52:55,11-01-2025 05:52:56,1.039s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 131.0.0.0,,,11-01-2025 05:52:56,11-01-2025 05:52:57,0.849s,PASSED
delay(2),Chrome 131.0.0.0,,,11-01-2025 05:52:57,11-01-2025 05:52:59,2.104s,PASSED
takeFullPageScreenshot(),Chrome 131.0.0.0,,,11-01-2025 05:52:59,11-01-2025 05:53:00,1.228s,PASSED
delay(2),Chrome 131.0.0.0,,,11-01-2025 05:53:00,11-01-2025 05:53:02,2.015s,PASSED
"setText(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/input_P_prodId""), ""5006866"")",Chrome 131.0.0.0,,,11-01-2025 05:53:02,11-01-2025 05:53:03,0.709s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 131.0.0.0,,,11-01-2025 05:53:03,11-01-2025 05:53:03,0.488s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo2)/img""))",Chrome 131.0.0.0,,,11-01-2025 05:53:03,11-01-2025 05:53:05,1.431s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/div_FinishSale (S)""))",Chrome 131.0.0.0,,,11-01-2025 05:53:05,11-01-2025 05:53:07,1.766s,PASSED
delay(2),Chrome 131.0.0.0,,,11-01-2025 05:53:07,11-01-2025 05:53:09,2.022s,PASSED
takeFullPageScreenshot(),Chrome 131.0.0.0,,,11-01-2025 05:53:09,11-01-2025 05:53:10,1.203s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo2)/div_EFTPOS""))",Chrome 131.0.0.0,,,11-01-2025 05:53:10,11-01-2025 05:53:10,0.504s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo2)/div""))",Chrome 131.0.0.0,,,11-01-2025 05:53:10,11-01-2025 05:53:13,2.219s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Kino Rafael Manalo (manaki)""))",Chrome 131.0.0.0,,,11-01-2025 05:53:13,11-01-2025 05:53:16,3.363s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Logout""))",Chrome 131.0.0.0,,,11-01-2025 05:53:16,11-01-2025 05:53:17,0.865s,PASSED
,,,,,,,
Test Cases/CHC_Instance/Till Reconciliation/Till Reconciliation_CHC/Till_Reconciliation_CashSale,Chrome 131.0.0.0,,,11-01-2025 05:53:17,11-01-2025 05:54:20,1m - 3.704s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,11-01-2025 05:53:17,11-01-2025 05:53:19,1.642s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,11-01-2025 05:53:19,11-01-2025 05:53:19,0.143s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo2/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 131.0.0.0,,,11-01-2025 05:53:19,11-01-2025 05:53:23,4.255s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/input_User ID_userid""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,11-01-2025 05:53:23,11-01-2025 05:53:26,2.712s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,11-01-2025 05:53:26,11-01-2025 05:53:27,0.437s,PASSED
"click(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/div_Login""))",Chrome 131.0.0.0,,,11-01-2025 05:53:27,11-01-2025 05:53:27,0.528s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 131.0.0.0,,,11-01-2025 05:53:27,11-01-2025 05:53:32,4.768s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/b_Till Reconciliation  Banking""))",Chrome 131.0.0.0,,,11-01-2025 05:53:32,11-01-2025 05:53:33,0.793s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Till Reconciliation""))",Chrome 131.0.0.0,,,11-01-2025 05:53:33,11-01-2025 05:53:33,0.764s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/div_Locked_isc_9D""))",Chrome 131.0.0.0,,,11-01-2025 05:53:33,11-01-2025 05:53:35,1.596s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/div_Reconciled_isc_9J""))",Chrome 131.0.0.0,,,11-01-2025 05:53:35,11-01-2025 05:53:36,0.536s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Find""))",Chrome 131.0.0.0,,,11-01-2025 05:53:36,11-01-2025 05:53:37,1.359s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Lock""))",Chrome 131.0.0.0,,,11-01-2025 05:53:37,11-01-2025 05:53:38,0.992s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/div_Lock""))",Chrome 131.0.0.0,,,11-01-2025 05:53:38,11-01-2025 05:53:39,1.351s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/div_Locked_isc_9D_1""))",Chrome 131.0.0.0,,,11-01-2025 05:53:39,11-01-2025 05:53:40,1.082s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Find_1""))",Chrome 131.0.0.0,,,11-01-2025 05:53:40,11-01-2025 05:53:41,0.664s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/div_0.00""))",Chrome 131.0.0.0,,,11-01-2025 05:53:41,11-01-2025 05:53:42,0.937s,PASSED
delay(3),Chrome 131.0.0.0,,,11-01-2025 05:53:42,11-01-2025 05:53:45,3.028s,PASSED
"sendKeys(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/input_amountActual""), ""7.95"")",Chrome 131.0.0.0,,,11-01-2025 05:53:45,11-01-2025 05:53:45,0.378s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Complete""))",Chrome 131.0.0.0,,,11-01-2025 05:53:45,11-01-2025 05:53:46,0.501s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/div_Complete""))",Chrome 131.0.0.0,,,11-01-2025 05:53:46,11-01-2025 05:53:47,1.464s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Kino Rafael Manalo (manaki)""))",Chrome 131.0.0.0,,,11-01-2025 05:53:47,11-01-2025 05:53:49,1.499s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Logout""))",Chrome 131.0.0.0,,,11-01-2025 05:53:49,11-01-2025 05:54:20,31.658s,PASSED
