Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MultiTill_Reconciliation_CHC,Chrome 131.0.0.0,,,11-01-2025 06:11:04,11-01-2025 06:15:20,4m - 16.366s,FAILED
,,,,,,,
Test Cases/CHC_Instance/Till Reconciliation/Till Reconciliation_CHC/POS_CashSale,Chrome 131.0.0.0,,,11-01-2025 06:11:04,11-01-2025 06:11:44,39.812s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,11-01-2025 06:11:05,11-01-2025 06:11:08,2.920s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,11-01-2025 06:11:08,11-01-2025 06:11:08,0.167s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo2/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 131.0.0.0,,,11-01-2025 06:11:08,11-01-2025 06:11:13,4.925s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/input_User ID_userid""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,11-01-2025 06:11:13,11-01-2025 06:11:15,2.121s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,11-01-2025 06:11:15,11-01-2025 06:11:16,0.456s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/div_Login""))",Chrome 131.0.0.0,,,11-01-2025 06:11:16,11-01-2025 06:11:16,0.585s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 131.0.0.0,,,11-01-2025 06:11:16,11-01-2025 06:11:20,3.498s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/Sales_TransactionProcessing""))",Chrome 131.0.0.0,,,11-01-2025 06:11:20,11-01-2025 06:11:21,1.322s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/td_Point Of Sale""))",Chrome 131.0.0.0,,,11-01-2025 06:11:21,11-01-2025 06:11:22,0.798s,PASSED
delay(2),Chrome 131.0.0.0,,,11-01-2025 06:11:22,11-01-2025 06:11:24,2.074s,PASSED
takeFullPageScreenshot(),Chrome 131.0.0.0,,,11-01-2025 06:11:24,11-01-2025 06:11:25,1.576s,PASSED
delay(2),Chrome 131.0.0.0,,,11-01-2025 06:11:25,11-01-2025 06:11:27,2.026s,PASSED
"setText(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/input_P_prodId""), ""5006866"")",Chrome 131.0.0.0,,,11-01-2025 06:11:27,11-01-2025 06:11:28,0.737s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/input_Quantity_quantityOrdered""))",Chrome 131.0.0.0,,,11-01-2025 06:11:28,11-01-2025 06:11:29,0.676s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo2)/img""))",Chrome 131.0.0.0,,,11-01-2025 06:11:29,11-01-2025 06:11:30,1.452s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo)/div_FinishSale (S)""))",Chrome 131.0.0.0,,,11-01-2025 06:11:30,11-01-2025 06:11:32,1.794s,PASSED
delay(2),Chrome 131.0.0.0,,,11-01-2025 06:11:32,11-01-2025 06:11:34,2.019s,PASSED
takeFullPageScreenshot(),Chrome 131.0.0.0,,,11-01-2025 06:11:34,11-01-2025 06:11:35,1.150s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo2)/div_EFTPOS""))",Chrome 131.0.0.0,,,11-01-2025 06:11:35,11-01-2025 06:11:36,0.571s,PASSED
"click(findTestObject(""Object Repository/TR_POS_CashSale_CHC/Page_Frameworks (Demo2)/div""))",Chrome 131.0.0.0,,,11-01-2025 06:11:36,11-01-2025 06:11:38,2.171s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Kino Rafael Manalo (manaki)""))",Chrome 131.0.0.0,,,11-01-2025 06:11:38,11-01-2025 06:11:41,3.293s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Logout""))",Chrome 131.0.0.0,,,11-01-2025 06:11:41,11-01-2025 06:11:44,2.799s,PASSED
,,,,,,,
Test Cases/CHC_Instance/Till Reconciliation/Till Reconciliation_CHC/Till_Reconciliation_CashSale,Chrome 131.0.0.0,,,11-01-2025 06:11:44,11-01-2025 06:12:47,1m - 2.931s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,11-01-2025 06:11:44,11-01-2025 06:11:46,1.760s,PASSED
maximizeWindow(),Chrome 131.0.0.0,,,11-01-2025 06:11:46,11-01-2025 06:11:46,0.162s,PASSED
"navigateToUrl(""http://frameworks.cairnshardware.com.au:8080/FWDemo2/Fluid.html#homeDashboard,dash,Frameworks.Activity.Menu.HomeDashBoard"")",Chrome 131.0.0.0,,,11-01-2025 06:11:46,11-01-2025 06:11:47,0.342s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/input_User ID_userid""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,11-01-2025 06:11:47,11-01-2025 06:11:53,6.209s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/input_Password_password""), ""BvRmjN+0xFM="")",Chrome 131.0.0.0,,,11-01-2025 06:11:53,11-01-2025 06:11:53,0.453s,PASSED
"click(findTestObject(""Object Repository/Create_PurchaseOrder_CHC/Page_Frameworks (Demo)/div_Login""))",Chrome 131.0.0.0,,,11-01-2025 06:11:53,11-01-2025 06:11:54,0.528s,PASSED
"click(findTestObject(""Object Repository/POS_CashSale_CHC/Page_Frameworks (Demo)/Fws_Menu""))",Chrome 131.0.0.0,,,11-01-2025 06:11:54,11-01-2025 06:11:59,4.760s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/b_Till Reconciliation  Banking""))",Chrome 131.0.0.0,,,11-01-2025 06:11:59,11-01-2025 06:11:59,0.770s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Till Reconciliation""))",Chrome 131.0.0.0,,,11-01-2025 06:11:59,11-01-2025 06:12:00,0.859s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/div_Locked_isc_9D""))",Chrome 131.0.0.0,,,11-01-2025 06:12:00,11-01-2025 06:12:02,1.515s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/div_Reconciled_isc_9J""))",Chrome 131.0.0.0,,,11-01-2025 06:12:02,11-01-2025 06:12:02,0.623s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Find""))",Chrome 131.0.0.0,,,11-01-2025 06:12:02,11-01-2025 06:12:03,0.847s,PASSED
"click(findTestObject(""Object Repository/TR_TillReconciliation_CashSale/Page_Frameworks (Demo2)/td_Lock""))",Chrome 131.0.0.0,,,11-01-2025 06:12:03,11-01-2025 06:12:04,1.019s,PASSED
